#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0343", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.13,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   58.50,    0.00,    0.00,         ,        ,          ,   54.50,    0.00,    0.00,        ,    ,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:47,  +00:00,       ,             ,             ,        , 30.13,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   58.50,    0.00,    0.00,         ,        ,          ,   54.50,    0.00,    0.00,        ,    ,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:48,  +00:00,       ,             ,             ,        , 30.13,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   58.50,    0.00,    0.00,         ,        ,          ,   54.50,    0.00,    0.00,        ,    ,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:49,  +00:00,       ,             ,             ,        , 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   58.50,    0.00,    0.00,         ,        ,          ,   55.00,    0.00,    0.00,        ,    ,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2025-07-18, 18:17:50,  +00:00,       ,             ,             ,        , 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  27.8,  27.9,       ,       ,         ,         ,         ,  135.53,   -2.76,   59.00,    0.00,    0.00,         ,  134.98,     -0.38,   55.00,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:51,  +00:00,       ,             ,             ,   616.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.4,  28.4,       ,       ,         ,         ,     0.16,  135.55,   -2.76,   59.00,    0.00,    0.00,     0.14,  134.98,     -0.38,   55.00,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:52,  +00:00,       ,             ,             ,   615.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4,       ,       ,         ,         ,     0.16,  135.54,   -2.77,   59.00,    0.00,    0.00,     0.14,  134.99,     -0.38,   55.50,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:53,  +00:00,       ,             ,             ,   615.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4,       ,       ,         ,         ,     0.16,  135.54,   -2.77,   59.50,    0.00,    0.00,     0.14,  135.00,     -0.38,   55.50,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:54,  +00:00,       ,             ,             ,   615.5, 30.13,        ,  36.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4,       ,       ,         ,         ,     0.16,  135.54,   -2.77,   59.50,    0.00,    0.00,     0.14,  135.00,     -0.38,   55.50,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:55,  +00:00,       ,             ,             ,   615.5, 30.13,        ,  36.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4,       ,       ,         ,         ,     0.16,  135.54,   -2.77,   59.50,    0.00,    0.00,     0.14,  135.00,     -0.38,   55.50,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:56,  +00:00,       ,             ,             ,   614.5, 30.13,        ,  36.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4, 155.73, 160.33,   588.95,   607.00,     0.16,  135.54,   -2.77,   59.50,    0.00,    0.00,     0.14,  135.00,     -0.38,   55.50,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:57,  +00:00,       ,             ,             ,   614.5, 30.13,        ,  36.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4, 155.73, 160.33,   588.95,   607.00,     0.16,  135.54,   -2.77,   60.00,    0.00,    0.00,     0.14,  135.00,     -0.38,   56.00,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:58,  +00:00,       ,             ,             ,   614.5, 30.13,        ,  36.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.3, 155.73, 160.33,   588.95,   607.00,     0.16,  135.54,   -2.78,   60.00,    0.00,    0.00,     0.14,  135.00,     -0.38,   56.00,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-18, 18:17:59,  +00:00,       ,             ,             ,   614.5, 30.13,        ,  36.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.3, 155.73, 160.33,   588.95,   607.00,     0.16,  135.53,   -2.78,   60.50,    0.00,    0.00,     0.14,  135.00,     -0.38,   56.00,    0.00,    0.00,        ,   0,  GPS,   33.2, 115.10, 115.10, 125.600, 130.350,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
