#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0346", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   44.00,    0.00,    0.00,         ,        ,          ,   39.50,    0.00,    0.00,        ,    ,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:14,  +00:00,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   44.00,    0.00,    0.00,         ,        ,          ,   39.50,    0.00,    0.00,        ,    ,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:15,  +00:00,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   44.00,    0.00,    0.00,         ,        ,          ,   39.50,    0.00,    0.00,        ,    ,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:16,  +00:00,       ,             ,             ,        , 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   43.50,    0.00,    0.00,         ,        ,          ,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:16,  +00:00,       ,             ,             ,   873.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.4,  25.4,       ,       ,         ,         ,     0.16,  143.14,   -2.90,   43.50,    0.00,    0.00,     0.14,  145.96,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:17,  +00:00,       ,             ,             ,   874.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3,       ,       ,         ,         ,     0.16,  143.15,   -2.91,   43.50,    0.00,    0.00,     0.14,  145.96,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:18,  +00:00,       ,             ,             ,   873.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  143.15,   -2.91,   43.50,    0.00,    0.00,     0.14,  145.96,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:19,  +00:00,       ,             ,             ,   873.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  143.15,   -2.91,   43.50,    0.00,    0.00,     0.14,  145.96,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:20,  +00:00,       ,             ,             ,   873.1, 30.11,        ,  39.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  143.15,   -2.91,   43.50,    0.00,    0.00,     0.14,  145.97,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:21,  +00:00,       ,             ,             ,   873.1, 30.11,        ,  39.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  143.15,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.97,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:22,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4, 125.50, 129.77,   475.56,   491.92,     0.16,  143.15,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.97,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:23,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.15,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.97,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:24,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.15,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.97,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:25,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4, 125.50, 129.77,   475.56,   491.92,     0.16,  143.15,   -2.91,   43.50,    0.00,    0.00,     0.14,  145.96,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:26,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,  -13.40,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.14,   -2.91,   43.50,    0.00,    0.00,     0.14,  145.96,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:27,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,   -9.69,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.14,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.95,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:28,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,   -6.65,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.13,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.95,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:29,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,   -7.12,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.13,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.95,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:30,  +00:00,       ,             ,             ,   872.1, 30.11,        ,  39.8,   0.00,       ,   -9.24,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.13,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.94,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-07-27, 22:28:31,  +00:00,       ,             ,             ,   871.1, 30.11,        ,  39.8,   0.00,       ,   -9.09,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 125.50, 129.77,   475.56,   491.92,     0.16,  143.12,   -2.91,   43.00,    0.00,    0.00,     0.14,  145.94,     -0.39,   39.50,    0.00,    0.00,        ,   0,  GPS,  270.0, 115.10, 115.10, 132.300, 125.900,       ,       ,       ,      ,       ,       ,   -3.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
