#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0351", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,   752.3, 30.29,        ,  31.2,   0.00,       ,        ,   0.20,   0.38,  -0.01,   0.00, 123.2,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   751.3, 30.29,        ,  31.2,   0.00,       ,   -6.89,   0.20,   0.38,  -0.01,   0.00, 123.2,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-07, 20:11:44,  +00:00,       ,             ,             ,   749.3, 30.29,        ,  31.2,   0.00,       ,  -11.43,   0.20,   0.37,  -0.00,   0.00, 123.2,      ,      ,      , 203.70, 203.70,         ,         ,     0.16,   87.25,   -1.57,   31.00,    0.00,    0.00,     0.14,   89.29,     -0.10,   31.00,    0.00,    0.00,        ,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-07, 20:11:45,  +00:00,       ,   41.6163292,  -87.4066696,   751.3, 30.29,   613.3,  31.2,   0.00,   0.00,  -19.85,   0.20,   0.38,  -0.00,   0.00, 123.2,   4.3,  24.8,  24.8, 203.70, 203.70,         ,         ,     0.16,   87.26,   -1.57,   31.00,    0.00,    0.00,     0.13,   89.29,     -0.10,   31.00,    0.00,    0.00,   501.6,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 2274.0,       
2025-08-07, 20:11:46,  +00:00,       ,   41.6163292,  -87.4066696,   750.3, 30.29,   612.6,  31.2,   0.00,   0.00,  -24.53,   0.20,   0.38,   0.00,   0.00, 123.2,   4.3,  24.8,  24.9, 203.70, 203.70,   770.60,   770.60,     0.16,   87.26,   -1.57,   31.00,    0.00,    0.00,     0.13,   89.29,     -0.10,   31.00,    0.00,    0.00,   500.9,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 2274.5,       
2025-08-07, 20:11:47,  +00:00,       ,   41.6163254,  -87.4066696,   750.3, 30.29,   612.4,  31.2,   0.00,   0.00,  -24.00,   0.21,   0.38,   0.00,  -0.00, 123.2,   4.3,  24.8,  24.9, 203.70, 203.70,   770.60,   770.60,     0.16,   87.26,   -1.57,   31.00,    0.00,    0.00,     0.13,   89.29,     -0.10,   31.00,    0.00,    0.00,   500.7,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 2274.5,       
2025-08-07, 20:11:48,  +00:00,       ,   41.6163254,  -87.4066544,   751.3, 30.29,   612.3,  31.2,   0.00,   0.00,  -20.79,   0.21,   0.38,  -0.00,   0.00, 123.2,   4.3,  24.8,  24.9, 203.70, 203.70,   770.60,   770.60,     0.16,   87.26,   -1.57,   31.00,    0.00,    0.00,     0.14,   89.29,     -0.10,   31.00,    0.00,    0.00,   500.6,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 2275.0,       
2025-08-07, 20:11:49,  +00:00,       ,   41.6163254,  -87.4066696,   750.3, 30.29,   611.9,  31.2,   0.00,   0.00,  -15.33,   0.21,   0.40,  -0.01,  -0.00, 123.2,   4.3,  24.8,  24.9, 203.70, 203.70,   770.60,   770.60,     0.16,   87.26,   -1.57,   31.00,    0.00,    0.00,     0.14,   89.29,     -0.10,   31.00,    0.00,    0.00,   500.2,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 2275.5,       
2025-08-07, 20:11:50,  +00:00,       ,   41.6163254,  -87.4066696,   749.3, 30.29,   611.2,  31.2,   0.00,   0.00,  -10.88,   0.21,   0.40,  -0.01,   0.00, 123.2,   4.3,  24.8,  24.9, 203.70, 203.70,   770.60,   770.60,     0.16,   87.26,   -1.57,   31.00,    0.00,    0.00,     0.14,   89.29,     -0.10,   31.00,    0.00,    0.00,   499.5,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 2276.0,       
2025-08-07, 20:11:51,  +00:00,       ,   41.6163254,  -87.4066696,   750.3, 30.29,   610.9,  31.2,   0.00,   0.00,  -10.40,   0.21,   0.40,  -0.00,   0.00, 123.2,   4.3,  24.8,  24.9, 203.70, 203.70,   770.60,   770.60,     0.16,   87.26,   -1.57,   31.00,    0.00,    0.00,     0.14,   89.29,     -0.10,   31.00,    0.00,    0.00,   499.2,   0,  GPS,  340.0, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 2276.0,       
