#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0386", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   29.00,    0.00,    0.00,         ,        ,          ,   29.00,    0.00,    0.00,        ,    ,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:05,  +00:00,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   29.00,    0.00,    0.00,         ,        ,          ,   29.00,    0.00,    0.00,        ,    ,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:06,  +00:00,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   29.00,    0.00,    0.00,         ,        ,          ,   29.00,    0.00,    0.00,        ,    ,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:07,  +00:00,       ,             ,             ,        , 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   29.00,    0.00,    0.00,         ,        ,          ,   29.00,    0.00,    0.00,        ,    ,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2025-11-09, 19:51:08,  +00:00,       ,             ,             ,        , 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,      ,       ,       ,         ,         ,         ,   83.66,   -1.40,   29.00,    0.00,    0.00,         ,        ,     -0.02,   29.00,    0.00,    0.00,        ,   0,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:10,  +00:00,       ,             ,             ,   328.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   83.68,   -1.42,   29.00,    0.00,    0.00,     0.14,   88.98,     -0.02,   29.00,    0.00,    0.00,        ,   0,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:11,  +00:00,       ,             ,             ,   328.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   83.68,   -1.42,   29.00,    0.00,    0.00,     0.14,   88.97,     -0.02,   29.00,    0.00,    0.00,        ,   0,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:12,  +00:00,       ,             ,             ,   328.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   83.69,   -1.42,   29.00,    0.00,    0.00,     0.14,   88.98,     -0.02,   29.00,    0.00,    0.00,        ,   0,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:13,  +00:00,       ,             ,             ,   327.1, 30.11,        ,  29.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   83.69,   -1.43,   29.00,    0.00,    0.00,     0.14,   88.99,     -0.02,   29.00,    0.00,    0.00,        ,   0,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-09, 19:51:14,  +00:00,       ,             ,             ,   328.1, 30.11,        ,  29.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   83.70,   -1.43,   29.00,    0.00,    0.00,     0.14,   88.99,     -0.02,   29.00,    0.00,    0.00,        ,   0,  GPS,  124.1, 109.70, 109.70, 121.900, 121.900,       ,       ,       ,      ,       ,       ,   -8.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
