#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0392", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  106.50,    0.00,    0.00,         ,        ,          ,  112.00,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:44,  +00:00,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  106.50,    0.00,    0.00,         ,        ,          ,  112.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:45,  +00:00,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  107.00,    0.00,    0.00,         ,        ,          ,  112.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:46,  +00:00,       ,             ,             ,        , 30.11,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  107.50,    0.00,    0.00,         ,        ,          ,  113.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2025-11-25, 22:25:47,  +00:00,       ,             ,             ,        , 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.4,  25.4,       ,       ,         ,         ,         ,  118.04,   -3.34,  108.00,    0.00,    0.00,         ,  114.12,      0.04,  114.00,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:47,  +00:00,       ,             ,             ,        , 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  118.06,   -3.35,  108.50,    0.00,    0.00,     0.14,  114.12,      0.04,  114.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:48,  +00:00,       ,             ,             ,        , 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  118.06,   -3.36,  109.00,    0.00,    0.00,     0.14,  114.13,      0.04,  115.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:49,  +00:00,       ,             ,             ,   418.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  118.06,   -3.36,  110.00,    0.00,    0.00,     0.14,  114.12,      0.04,  115.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:50,  +00:00,       ,             ,             ,   418.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  118.06,   -3.36,  110.50,    0.00,    0.00,     0.14,  114.13,      0.04,  116.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:51,  +00:00,       ,             ,             ,   417.1, 30.11,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4,       ,       ,         ,         ,     0.16,  118.07,   -3.36,  111.00,    0.00,    0.00,     0.14,  114.12,      0.03,  116.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:52,  +00:00,       ,             ,             ,   417.1, 30.11,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4, 205.34, 199.75,   776.80,   755.93,     0.16,  118.07,   -3.36,  112.00,    0.00,    0.00,     0.14,  114.12,      0.04,  116.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:53,  +00:00,       ,             ,             ,   417.1, 30.11,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.4, 205.34, 199.75,   776.80,   755.93,     0.16,  118.07,   -3.36,  112.50,    0.00,    0.00,     0.14,  114.11,      0.04,  116.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:54,  +00:00,       ,             ,             ,   417.1, 30.11,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 205.34, 199.75,   776.80,   755.93,     0.16,  118.07,   -3.36,  113.00,    0.00,    0.00,     0.14,  114.11,      0.04,  116.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:55,  +00:00,       ,             ,             ,   417.1, 30.11,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 205.34, 199.75,   776.80,   755.93,     0.16,  118.07,   -3.36,  113.50,    0.00,    0.00,     0.14,  114.10,      0.04,  117.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:56,  +00:00,       ,             ,             ,   416.1, 30.11,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 205.34, 199.75,   776.80,   755.93,     0.16,  118.07,   -3.36,  113.50,    0.00,    0.00,     0.14,  114.10,      0.03,  117.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:25:57,  +00:00,       ,             ,             ,   416.1, 30.11,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 205.34, 199.75,   776.80,   755.93,     0.16,  118.08,   -3.36,  113.50,    0.00,    0.00,     0.14,  114.09,      0.03,  117.00,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
