#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_20251220_180054", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2025-12-20, 18:00:54,  +00:00,       ,             ,             ,  1085.3, 30.29,        ,   7.8,   0.00,       ,   -8.78,       ,       ,       ,       ,      ,      ,  25.3,  25.3, 207.31, 207.31,   784.70,   784.70,     0.16,   49.13,   -0.89,    9.50,    0.00,    0.00,     0.13,   50.00,      0.35,   10.50,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:00:55,  +00:00,       ,             ,             ,  1086.3, 30.29,        ,   7.8,   0.00,       ,  -11.34,       ,       ,       ,       ,      ,      ,  25.2,  25.3, 207.31, 207.31,   784.70,   784.70,     0.16,   49.14,   -0.89,    9.50,    0.00,    0.00,     0.13,   50.01,      0.35,   10.00,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:00:56,  +00:00,       ,             ,             ,  1085.3, 30.29,        ,   7.8,   0.00,       ,  -13.09,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 207.31, 207.31,   784.70,   784.70,     0.16,   49.14,   -0.89,    9.50,    0.00,    0.00,     0.13,   50.02,      0.35,   10.50,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:00:57,  +00:00,       ,             ,             ,  1085.3, 30.29,        ,   7.5,   0.00,       ,  -14.23,       ,       ,       ,       ,      ,      ,  25.1,  25.2, 207.31, 207.31,   784.70,   784.70,     0.16,   49.15,   -0.89,    9.50,    0.00,    0.00,     0.13,   50.02,      0.35,   10.00,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:00:58,  +00:00,       ,             ,             ,  1085.3, 30.29,        ,   7.5,   0.00,       ,  -14.33,       ,       ,       ,       ,      ,      ,  25.1,  25.1, 207.31, 207.31,   784.70,   784.70,     0.16,   49.15,   -0.89,    9.50,    0.00,    0.00,     0.13,   50.02,      0.35,   10.00,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:00:59,  +00:00,       ,             ,             ,  1085.3, 30.29,        ,   7.5,   0.00,       ,  -11.48,       ,       ,       ,       ,      ,      ,  25.0,  25.1, 207.31, 207.31,   784.70,   784.70,     0.16,   49.15,   -0.89,    9.50,    0.00,    0.00,     0.14,   50.02,      0.35,   10.50,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:01:00,  +00:00,       ,             ,             ,  1086.3, 30.29,        ,   7.5,   0.00,       ,   -7.97,       ,       ,       ,       ,      ,      ,  25.0,  25.0, 207.31, 207.31,   784.70,   784.70,     0.16,   49.15,   -0.89,    9.50,    0.00,    0.00,     0.13,   50.02,      0.35,   10.00,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:01:01,  +00:00,       ,             ,             ,  1084.3, 30.29,        ,   7.5,   0.00,       ,   -3.25,       ,       ,       ,       ,      ,      ,  25.0,  25.0, 207.31, 207.31,   784.70,   784.70,     0.16,   49.15,   -0.89,    9.50,    0.00,    0.00,     0.13,   50.03,      0.35,   10.00,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:01:02,  +00:00,       ,             ,             ,  1084.3, 30.29,        ,   7.5,   0.00,       ,   -3.26,       ,       ,       ,       ,      ,      ,  24.9,  25.0, 207.31, 207.31,   784.70,   784.70,     0.16,   49.15,   -0.89,    9.50,    0.00,    0.00,     0.14,   50.02,      0.35,   10.50,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 18:01:03,  +00:00,       ,             ,             ,  1085.3, 30.29,        ,   7.5,   0.00,       ,   -9.18,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 207.31, 207.31,   784.70,   784.70,     0.16,   49.15,   -0.89,    9.50,    0.00,    0.00,     0.14,   50.03,      0.35,   10.50,    0.00,    0.00,        ,   0,  GPS,  279.0, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
