#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0400", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.99,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  106.50,    0.00,    0.00,         ,        ,          ,   35.50,    0.00,    0.00,        ,    ,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:10,  +00:00,       ,             ,             ,        , 29.99,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  106.50,    0.00,    0.00,         ,        ,          ,   35.50,    0.00,    0.00,        ,    ,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:11,  +00:00,       ,             ,             ,        , 29.99,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  106.50,    0.00,    0.00,         ,        ,          ,   35.50,    0.00,    0.00,        ,    ,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:12,  +00:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  106.50,    0.00,    0.00,         ,        ,          ,   35.50,    0.00,    0.00,        ,    ,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:12,  +00:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.3,       ,       ,         ,         ,     0.16,  115.59,   -2.59,  106.00,    0.00,    0.00,     0.14,  111.29,     -0.09,   35.50,    0.00,    0.00,        ,   0,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:13,  +00:00,       ,             ,             ,  3948.5, 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.3,       ,       ,         ,         ,     0.16,  115.61,   -2.60,  106.00,    0.00,    0.00,     0.14,  111.27,     -0.09,   35.50,    0.00,    0.00,        ,   0,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:14,  +00:00,       ,             ,             ,  3948.5, 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.3,       ,       ,         ,         ,     0.16,  115.61,   -2.60,  106.00,    0.00,    0.00,     0.14,  111.28,     -0.09,   35.50,    0.00,    0.00,        ,   0,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:15,  +00:00,       ,             ,             ,  3947.5, 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.3,       ,       ,         ,         ,     0.16,  115.61,   -2.60,  106.00,    0.00,    0.00,     0.14,  111.29,     -0.09,   35.50,    0.00,    0.00,        ,   0,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:16,  +00:00,       ,             ,             ,  3947.5, 29.99,        ,  15.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.3,       ,       ,         ,         ,     0.16,  115.61,   -2.60,  106.00,    0.00,    0.00,     0.14,  111.28,     -0.09,   35.50,    0.00,    0.00,        ,   0,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-20, 21:56:17,  +00:00,       ,             ,             ,  3947.5, 29.99,        ,  15.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.3,       ,       ,         ,         ,     0.16,  115.62,   -2.60,  105.50,    0.00,    0.00,     0.13,  111.28,     -0.09,   35.00,    0.00,    0.00,        ,   0,  GPS,  120.0, 109.70, 109.70, 123.000, 121.025,       ,       ,       ,      ,       ,       ,    7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
