#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0402", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.50,    0.00,    0.00,        ,    ,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:46,  +00:00,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.50,    0.00,    0.00,        ,    ,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:47,  +00:00,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.50,    0.00,    0.00,        ,    ,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:48,  +00:00,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.50,    0.00,    0.00,        ,    ,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2025-12-29, 21:02:49,  +00:00,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.7,       ,       ,         ,         ,         ,   58.15,   -1.01,   17.50,    0.00,    0.00,         ,   59.61,      0.28,   17.50,    0.00,    0.00,        ,    ,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:48,  +00:00,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.7,       ,       ,         ,         ,     0.16,   58.15,   -1.02,   17.50,    0.00,    0.00,     0.14,   59.61,      0.28,   17.50,    0.00,    0.00,        ,    ,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:49,  +00:00,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   58.16,   -1.02,   17.50,    0.00,    0.00,     0.13,   59.62,      0.28,   17.50,    0.00,    0.00,        ,    ,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:50,  +00:00,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   58.17,   -1.02,   17.50,    0.00,    0.00,     0.13,   59.63,      0.28,   17.50,    0.00,    0.00,        ,   0,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:51,  +00:00,       ,             ,             ,  5089.4, 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   58.17,   -1.02,   17.50,    0.00,    0.00,     0.13,   59.63,      0.28,   17.50,    0.00,    0.00,        ,   0,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-12-29, 21:02:52,  +00:00,       ,             ,             ,  5089.4, 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   58.18,   -1.03,   17.50,    0.00,    0.00,     0.13,   59.64,      0.28,   17.50,    0.00,    0.00,        ,   0,  GPS,  100.0, 109.70, 109.70, 122.800, 122.800,       ,       ,       ,      ,       ,       ,    8.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
