#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0408", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   11.00,    0.00,    0.00,         ,        ,          ,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:11,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   11.00,    0.00,    0.00,         ,        ,          ,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:12,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   11.00,    0.00,    0.00,         ,        ,          ,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:13,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   11.00,    0.00,    0.00,         ,        ,          ,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:14,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.8,       ,       ,         ,         ,     0.16,   46.30,   -0.84,   11.00,    0.00,    0.00,     0.14,   49.96,      0.26,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:15,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   46.30,   -0.84,   11.00,    0.00,    0.00,     0.14,   49.97,      0.26,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:16,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   46.31,   -0.85,   11.00,    0.00,    0.00,     0.14,   49.98,      0.26,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:17,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   46.32,   -0.85,   11.00,    0.00,    0.00,     0.13,   49.99,      0.26,   11.00,    0.00,    0.00,        ,    ,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:18,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   46.33,   -0.85,   11.00,    0.00,    0.00,     0.13,   50.00,      0.26,   11.00,    0.00,    0.00,        ,   0,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:19,  +00:00,       ,             ,             ,   -93.2, 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   46.33,   -0.85,   11.00,    0.00,    0.00,     0.13,   50.01,      0.26,   11.00,    0.00,    0.00,        ,   0,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:20,  +00:00,       ,             ,             ,   -92.2, 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7, 203.04, 204.35,   768.91,   773.98,     0.16,   46.34,   -0.86,   11.00,    0.00,    0.00,     0.13,   50.01,      0.26,   11.00,    0.00,    0.00,        ,   0,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-12, 14:56:21,  +00:00,       ,             ,             ,   -90.2, 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.7, 203.04, 204.35,   768.91,   773.98,     0.16,   46.35,   -0.86,   11.00,    0.00,    0.00,     0.14,   50.01,      0.26,   11.00,    0.00,    0.00,        ,   0,  GPS,  300.0, 109.70, 109.70, 121.800, 125.400,       ,       ,       ,      ,       ,       ,   -7.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
