#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0422", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.63,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   40.50,    0.00,    0.00,         ,        ,          ,   30.00,    0.00,    0.00,        ,    ,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:06,  +00:00,       ,             ,             ,        , 29.63,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   40.50,    0.00,    0.00,         ,        ,          ,   30.50,    0.00,    0.00,        ,    ,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:07,  +00:00,       ,             ,             ,        , 29.63,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   40.50,    0.00,    0.00,         ,        ,          ,   30.50,    0.00,    0.00,        ,    ,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:08,  +00:00,       ,             ,             ,        , 29.63,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   40.50,    0.00,    0.00,         ,        ,          ,   30.50,    0.00,    0.00,        ,    ,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-01-17, 00:51:09,  +00:00,       ,             ,             ,        , 29.63,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  25.0,       ,       ,         ,         ,         ,  102.59,   -2.49,   40.50,    0.00,    0.00,         ,   97.47,      0.02,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:09,  +00:00,       ,             ,             ,   577.6, 29.63,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  25.0,       ,       ,         ,         ,     0.16,  102.61,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.47,      0.02,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:10,  +00:00,       ,             ,             ,   576.6, 29.63,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,  102.61,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.47,      0.02,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:11,  +00:00,       ,             ,             ,   576.6, 29.63,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,  102.60,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.47,      0.02,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:12,  +00:00,       ,             ,             ,   576.6, 29.63,        ,   5.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,  102.60,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.46,      0.03,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:13,  +00:00,       ,             ,             ,   575.6, 29.63,        ,   5.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,  102.60,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.46,      0.03,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:14,  +00:00,       ,             ,             ,   576.6, 29.63,        ,   5.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.59,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.45,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:15,  +00:00,       ,             ,             ,   575.6, 29.63,        ,   5.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.58,   -2.51,   41.00,    0.00,    0.00,     0.13,   97.44,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:16,  +00:00,       ,             ,             ,   574.6, 29.63,        ,   5.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.58,   -2.51,   41.00,    0.00,    0.00,     0.13,   97.44,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:17,  +00:00,       ,             ,             ,   574.6, 29.63,        ,   5.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.56,   -2.51,   41.00,    0.00,    0.00,     0.13,   97.43,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:18,  +00:00,       ,             ,             ,   574.6, 29.63,        ,   5.2,   0.00,       ,  -15.34,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.55,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.42,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:19,  +00:00,       ,             ,             ,   574.6, 29.63,        ,   5.2,   0.00,       ,  -15.56,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.54,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.40,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:20,  +00:00,       ,             ,             ,   574.6, 29.63,        ,   5.2,   0.00,       ,  -15.72,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.54,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.40,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:21,  +00:00,       ,             ,             ,   574.6, 29.63,        ,   5.2,   0.00,       ,  -15.83,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.53,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.39,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:22,  +00:00,       ,             ,             ,   573.6, 29.63,        ,   5.2,   0.00,       ,  -15.90,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.51,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.38,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:23,  +00:00,       ,             ,             ,   574.6, 29.63,        ,   5.2,   0.00,       ,  -15.64,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.50,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.37,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:24,  +00:00,       ,             ,             ,   573.6, 29.63,        ,   5.2,   0.00,       ,  -12.63,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.49,   -2.51,   41.00,    0.00,    0.00,     0.13,   97.36,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:25,  +00:00,       ,             ,             ,   573.6, 29.63,        ,   5.2,   0.00,       ,   -8.97,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.49,   -2.50,   41.00,    0.00,    0.00,     0.13,   97.35,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:26,  +00:00,       ,             ,             ,   573.6, 29.63,        ,   5.2,   0.00,       ,   -6.00,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.47,   -2.51,   41.00,    0.00,    0.00,     0.13,   97.34,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:27,  +00:00,       ,             ,             ,   573.6, 29.63,        ,   5.2,   0.00,       ,   -4.80,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.46,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.33,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:28,  +00:00,       ,             ,             ,   573.6, 29.63,        ,   5.2,   0.00,       ,   -3.43,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.44,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.31,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:29,  +00:00,       ,             ,             ,   573.6, 29.63,        ,   5.2,   0.00,       ,   -2.28,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.44,   -2.51,   41.00,    0.00,    0.00,     0.13,   97.30,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:31,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.2,   0.00,       ,   -3.36,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.42,   -2.50,   41.00,    0.00,    0.00,     0.13,   97.29,      0.02,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:32,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.2,   0.00,       ,   -6.48,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.41,   -2.50,   41.00,    0.00,    0.00,     0.13,   97.28,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:33,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.2,   0.00,       ,   -9.47,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.40,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.26,      0.02,   30.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:34,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.2,   0.00,       ,  -11.76,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.38,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.25,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:35,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.2,   0.00,       ,  -13.35,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.37,   -2.51,   41.00,    0.00,    0.00,     0.14,   97.24,      0.02,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:36,  +00:00,       ,             ,             ,   571.6, 29.63,        ,   5.2,   0.00,       ,  -14.38,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.36,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.23,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:37,  +00:00,       ,             ,             ,   571.6, 29.63,        ,   5.2,   0.00,       ,  -15.33,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.34,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.22,      0.03,   31.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:38,  +00:00,       ,             ,             ,   570.6, 29.63,        ,   5.2,   0.00,       ,  -18.27,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.33,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.20,      0.03,   31.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:39,  +00:00,       ,             ,             ,   570.6, 29.63,        ,   5.0,   0.00,       ,  -18.97,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.32,   -2.50,   41.00,    0.00,    0.00,     0.14,   97.19,      0.03,   31.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:40,  +00:00,       ,             ,             ,   570.6, 29.63,        ,   5.0,   0.00,       ,  -18.50,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.30,   -2.50,   41.50,    0.00,    0.00,     0.14,   97.18,      0.03,   31.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:41,  +00:00,       ,             ,             ,   571.6, 29.63,        ,   5.0,   0.00,       ,  -17.59,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.28,   -2.50,   41.50,    0.00,    0.00,     0.14,   97.16,      0.02,   31.50,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:42,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.0,   0.00,       ,  -12.79,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.27,   -2.50,   41.50,    0.00,    0.00,     0.14,   97.15,      0.02,   32.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:43,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.0,   0.00,       ,   -2.85,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.26,   -2.50,   42.00,    0.00,    0.00,     0.14,   97.14,      0.03,   32.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-17, 00:51:44,  +00:00,       ,             ,             ,   572.6, 29.63,        ,   5.0,   0.00,       ,    7.68,       ,       ,       ,       ,      ,      ,  24.9,  24.9, 206.32, 206.32,   780.75,   780.75,     0.16,  102.24,   -2.50,   42.00,    0.00,    0.00,     0.14,   97.12,      0.03,   32.00,    0.00,    0.00,        ,   0,  GPS,  329.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
