#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0423", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   16.50,    0.00,    0.00,         ,        ,          ,   16.50,    0.00,    0.00,        ,    ,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:16,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   16.50,    0.00,    0.00,         ,        ,          ,   16.50,    0.00,    0.00,        ,    ,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:17,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   16.50,    0.00,    0.00,         ,        ,          ,   16.50,    0.00,    0.00,        ,    ,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:18,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   16.50,    0.00,    0.00,         ,        ,          ,   16.50,    0.00,    0.00,        ,    ,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:19,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  24.4,       ,       ,         ,         ,     0.16,   56.82,   -0.90,   16.50,    0.00,    0.00,     0.14,   57.05,      0.30,   16.50,    0.00,    0.00,        ,    ,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:20,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  24.4,       ,       ,         ,         ,     0.16,   56.82,   -0.90,   16.50,    0.00,    0.00,     0.14,   57.07,      0.30,   16.50,    0.00,    0.00,        ,    ,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:21,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  24.4,       ,       ,         ,         ,     0.16,   56.82,   -0.90,   16.50,    0.00,    0.00,     0.14,   57.07,      0.30,   16.50,    0.00,    0.00,        ,    ,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:22,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  24.4,       ,       ,         ,         ,     0.16,   56.82,   -0.90,   16.50,    0.00,    0.00,     0.14,   57.07,      0.30,   16.50,    0.00,    0.00,        ,   0,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:23,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  24.4,       ,       ,         ,         ,     0.16,   56.83,   -0.91,   16.50,    0.00,    0.00,     0.14,   57.08,      0.30,   16.50,    0.00,    0.00,        ,   0,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-19, 20:03:24,  +00:00,       ,             ,             ,    55.8, 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.4,       ,       ,         ,         ,     0.16,   56.83,   -0.91,   16.50,    0.00,    0.00,     0.14,   57.08,      0.30,   16.50,    0.00,    0.00,        ,   0,  GPS,  188.1, 116.30, 116.30, 125.975, 123.750,       ,       ,       ,      ,       ,       ,   -7.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
