#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0428", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   73.00,    0.00,    0.00,         ,        ,          ,   71.00,    0.00,    0.00,        ,    ,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:08,  +00:00,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   73.00,    0.00,    0.00,         ,        ,          ,   71.00,    0.00,    0.00,        ,    ,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:09,  +00:00,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   73.00,    0.00,    0.00,         ,        ,          ,   71.00,    0.00,    0.00,        ,    ,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:10,  +00:00,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   73.00,    0.00,    0.00,         ,        ,          ,   71.00,    0.00,    0.00,        ,    ,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-01-28, 23:54:11,  +00:00,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,         ,  102.19,   -2.42,   73.00,    0.00,    0.00,         ,   98.79,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:11,  +00:00,       ,             ,             ,  1058.4, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,  102.19,   -2.43,   73.00,    0.00,    0.00,     0.14,   98.80,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:12,  +00:00,       ,             ,             ,  1058.4, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,  102.20,   -2.43,   73.00,    0.00,    0.00,     0.13,   98.80,     -0.01,   71.50,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:13,  +00:00,       ,             ,             ,  1057.4, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.2,       ,       ,         ,         ,     0.16,  102.19,   -2.43,   73.00,    0.00,    0.00,     0.14,   98.80,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:14,  +00:00,       ,             ,             ,  1057.4, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  102.19,   -2.43,   73.00,    0.00,    0.00,     0.14,   98.80,     -0.01,   71.50,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:15,  +00:00,       ,             ,             ,  1057.4, 30.18,        ,   7.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  102.19,   -2.43,   73.00,    0.00,    0.00,     0.13,   98.80,     -0.01,   71.50,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:16,  +00:00,       ,             ,             ,  1057.4, 30.18,        ,   7.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1, 206.32, 206.32,   781.32,   781.32,     0.16,  102.18,   -2.44,   73.50,    0.00,    0.00,     0.14,   98.79,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:17,  +00:00,       ,             ,             ,  1057.4, 30.18,        ,   7.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1, 206.32, 206.32,   781.32,   781.32,     0.16,  102.18,   -2.44,   73.50,    0.00,    0.00,     0.14,   98.79,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:18,  +00:00,       ,             ,             ,  1056.4, 30.18,        ,   7.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1, 206.32, 206.32,   781.32,   781.32,     0.16,  102.17,   -2.44,   73.50,    0.00,    0.00,     0.13,   98.78,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:19,  +00:00,       ,             ,             ,  1056.4, 30.18,        ,   7.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1, 206.32, 206.32,   781.32,   781.32,     0.16,  102.16,   -2.44,   73.50,    0.00,    0.00,     0.14,   98.78,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:20,  +00:00,       ,             ,             ,  1056.4, 30.18,        ,   7.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  25.1, 206.32, 206.32,   781.32,   781.32,     0.16,  102.15,   -2.44,   73.50,    0.00,    0.00,     0.14,   98.77,     -0.00,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:21,  +00:00,       ,             ,             ,  1056.4, 30.18,        ,   7.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.0,  25.1, 206.32, 206.32,   781.32,   781.32,     0.16,  102.15,   -2.44,   73.00,    0.00,    0.00,     0.14,   98.76,     -0.00,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:22,  +00:00,       ,             ,             ,  1055.4, 30.18,        ,   7.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.0,  25.1, 206.32, 206.32,   781.32,   781.32,     0.16,  102.14,   -2.44,   73.50,    0.00,    0.00,     0.14,   98.75,     -0.00,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:23,  +00:00,       ,             ,             ,  1055.4, 30.18,        ,   7.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.0,  25.0, 206.32, 206.32,   781.32,   781.32,     0.16,  102.13,   -2.44,   73.50,    0.00,    0.00,     0.14,   98.74,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 23:54:24,  +00:00,       ,             ,             ,  1055.4, 30.18,        ,   7.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.0,  25.0, 206.32, 206.32,   781.32,   781.32,     0.16,  102.12,   -2.44,   73.00,    0.00,    0.00,     0.14,   98.73,     -0.01,   71.00,    0.00,    0.00,        ,   0,  GPS,  328.0, 116.30, 116.30, 124.100, 121.800,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
