#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0433", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   13.00,    0.00,    0.00,         ,        ,          ,   13.50,    0.00,    0.00,        ,    ,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:13,  +00:00,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   12.50,    0.00,    0.00,         ,        ,          ,   13.50,    0.00,    0.00,        ,    ,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:14,  +00:00,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   12.50,    0.00,    0.00,         ,        ,          ,   13.50,    0.00,    0.00,        ,    ,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:15,  +00:00,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   12.50,    0.00,    0.00,         ,        ,          ,   13.50,    0.00,    0.00,        ,    ,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:16,  +00:00,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   60.42,   -1.26,   12.50,    0.00,    0.00,     0.14,   61.57,      0.30,   13.50,    0.00,    0.00,        ,    ,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:17,  +00:00,       ,             ,             ,        , 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   60.45,   -1.26,   12.00,    0.00,    0.00,     0.14,   61.56,      0.30,   13.50,    0.00,    0.00,        ,    ,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:18,  +00:00,       ,             ,             ,        , 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   60.45,   -1.26,   12.00,    0.00,    0.00,     0.14,   61.56,      0.30,   13.00,    0.00,    0.00,        ,   0,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:19,  +00:00,       ,             ,             ,   443.9, 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.9,  24.9,       ,       ,         ,         ,     0.16,   60.44,   -1.26,   12.00,    0.00,    0.00,     0.14,   61.56,      0.30,   13.00,    0.00,    0.00,        ,   0,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:20,  +00:00,       ,             ,             ,   442.9, 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.9,       ,       ,         ,         ,    18.49,   60.45,   -1.27,   12.00,    0.00,    0.00,     0.13,   61.57,      0.30,   13.00,    0.00,    0.00,        ,   0,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:21,  +00:00,       ,             ,             ,   442.9, 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8,       ,       ,         ,         ,    17.87,   60.45,   -1.27,   12.00,    0.00,    0.00,     0.13,   61.57,      0.30,   13.00,    0.00,    0.00,        ,   0,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:22,  +00:00,       ,             ,             ,   442.9, 30.21,        ,  10.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8, 120.25, 121.56,   455.25,   459.76,     6.34,   60.46,   -1.27,   12.00,    0.00,    0.00,     0.14,   61.58,      0.30,   13.00,    0.00,    0.00,        ,   0,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:23,  +00:00,       ,             ,             ,   442.9, 30.21,        ,  10.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8, 120.25, 121.56,   455.25,   459.76,     2.32,   60.46,   -1.27,   12.00,    0.00,    0.00,     0.14,   61.57,      0.30,   12.50,    0.00,    0.00,        ,   0,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 18:50:24,  +00:00,       ,             ,             ,   442.9, 30.21,        ,  10.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8, 120.25, 121.56,   455.25,   459.76,     0.91,   60.46,   -1.27,   12.00,    0.00,    0.00,     0.14,   61.58,      0.30,   12.50,    0.00,    0.00,        ,   0,  GPS,  307.9, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
