#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0437", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   45.00,    0.00,    0.00,         ,        ,          ,   36.00,    0.00,    0.00,        ,    ,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:03,  +00:00,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   45.00,    0.00,    0.00,         ,        ,          ,   36.00,    0.00,    0.00,        ,    ,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:04,  +00:00,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   45.00,    0.00,    0.00,         ,        ,          ,   36.00,    0.00,    0.00,        ,    ,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:05,  +00:00,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   45.00,    0.00,    0.00,         ,        ,          ,   35.50,    0.00,    0.00,        ,    ,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2026-02-04, 20:42:06,  +00:00,       ,             ,             ,        , 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.3,       ,       ,         ,         ,     0.16,   87.78,   -2.22,   45.00,    0.00,    0.00,         ,   85.45,      0.10,   34.50,    0.00,    0.00,        ,    ,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:07,  +00:00,       ,             ,             ,        , 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.3,       ,       ,         ,         ,     0.16,   87.78,   -2.23,   45.00,    0.00,    0.00,     0.14,   85.47,      0.10,   34.50,    0.00,    0.00,        ,   0,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:08,  +00:00,       ,             ,             ,   828.9, 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.3,       ,       ,         ,         ,     0.16,   87.79,   -2.23,   45.00,    0.00,    0.00,     0.14,   85.47,      0.10,   34.50,    0.00,    0.00,        ,   0,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:09,  +00:00,       ,             ,             ,   828.9, 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,   87.79,   -2.24,   45.00,    0.00,    0.00,     0.14,   85.47,      0.10,   34.50,    0.00,    0.00,        ,   0,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:10,  +00:00,       ,             ,             ,   826.9, 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,   87.79,   -2.24,   44.50,    0.00,    0.00,     0.14,   85.47,      0.10,   34.50,    0.00,    0.00,        ,   0,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-02-04, 20:42:11,  +00:00,       ,             ,             ,   826.9, 30.33,        ,   1.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,   87.78,   -2.24,   44.50,    0.00,    0.00,     0.14,   85.47,      0.10,   34.50,    0.00,    0.00,        ,   0,  GPS,  210.0, 116.30, 116.30, 119.050, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
