#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0169", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,   407.7, 30.00,        ,  23.0,   0.00,       ,    0.00,   0.12,  -1.11,   0.02,   0.00, 308.7,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   407.7, 30.00,        ,  23.0,   0.00,       ,    0.00,   0.11,  -1.11,   0.02,   0.00, 308.7,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 09:29:40,  -05:00,       ,   41.6166496,  -87.4067383,   407.7, 30.00,   572.1,  23.0,   0.00,   0.00,    0.00,   0.10,  -1.11,   0.02,   0.00, 308.7, 271.1,      ,      ,       ,       ,         ,         ,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   460.4,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 1206.0,       
2024-08-24, 09:29:41,  -05:00,       ,   41.6166496,  -87.4067459,   407.7, 30.00,   570.8,  23.0,   0.00,   0.00,    0.00,   0.10,  -1.11,   0.02,  -0.00, 308.8, 271.1,  24.5,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   459.1,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 1204.5,       
2024-08-24, 09:29:42,  -05:00,       ,   41.6166496,  -87.4067383,   407.7, 30.00,   570.2,  23.0,   0.00,   0.00,    0.00,   0.09,  -1.11,   0.02,  -0.00, 308.8, 271.1,  24.6,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   458.5,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 1203.5,       
2024-08-24, 09:29:43,  -05:00,       ,   41.6166496,  -87.4067383,   407.7, 30.00,   569.4,  23.0,   0.00,   0.00,    0.00,   0.09,  -1.11,   0.02,   0.00, 308.8, 271.1,  24.6,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   457.7,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 1202.0,       
2024-08-24, 09:29:44,  -05:00,       ,   41.6166496,  -87.4067383,   407.7, 30.00,   569.0,  23.0,   0.00,   0.00,    0.00,   0.08,  -1.10,   0.02,  -0.00, 308.8, 271.1,  24.6,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   457.3,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       , 1201.0,       
2024-08-24, 09:29:45,  -05:00,       ,   41.6166496,  -87.4067383,   407.7, 30.00,   568.8,  23.0,   0.00,   0.00,    0.00,   0.08,  -1.10,   0.02,   0.00, 308.8, 271.1,  24.6,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   457.1,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 1200.0,       
2024-08-24, 09:29:46,  -05:00,       ,   41.6166496,  -87.4067383,   407.7, 30.00,   568.6,  23.0,   0.00,   0.00,    0.00,   0.05,  -1.07,   0.02,  -0.00, 308.8, 271.1,  24.6,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   456.9,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 1199.0,       
2024-08-24, 09:29:47,  -05:00,       ,   41.6166496,  -87.4067307,   407.7, 30.00,   568.6,  23.0,   0.00,   0.00,    0.00,   0.04,  -1.03,   0.02,   0.00, 308.8, 271.1,  24.6,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   456.9,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 1198.0,       
2024-08-24, 09:29:48,  -05:00,       ,   41.6166420,  -87.4067307,   407.7, 30.00,   568.2,  23.0,   0.00,   0.00,    0.00,   0.03,  -1.00,   0.02,   0.00, 308.8, 271.1,  24.6,  24.6, 133.39, 132.40,   504.89,   500.95,     0.16,   74.85,   -1.34,   23.00,    0.00,    0.00,     0.14,   76.06,      0.07,   23.00,    0.00,    0.00,   456.5,   0,  GPS,  150.0, 109.90, 109.90, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 1197.0,       
