#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_20240824_132403", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024-08-24, 13:24:13,  -05:00,       ,             ,             ,   774.8, 30.20,        ,  35.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.3, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:14,  -05:00,       ,             ,             ,   774.8, 30.20,        ,  35.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.3, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   65.00,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:15,  -05:00,       ,             ,             ,   774.8, 30.20,        ,  35.2,   0.00,       ,   10.79,       ,       ,       ,       ,      ,      ,  25.2,  25.3, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   64.00,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:16,  -05:00,       ,             ,             ,   773.8, 30.20,        ,  35.2,   0.00,       ,    9.72,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:17,  -05:00,       ,             ,             ,   773.8, 30.20,        ,  35.2,   0.00,       ,    7.25,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:18,  -05:00,       ,             ,             ,   774.8, 30.20,        ,  35.2,   0.00,       ,    4.94,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:19,  -05:00,       ,             ,             ,   775.8, 30.20,        ,  35.2,   0.00,       ,    4.47,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:20,  -05:00,       ,             ,             ,   774.8, 30.20,        ,  35.2,   0.00,       ,    6.84,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:21,  -05:00,       ,             ,             ,   775.8, 30.20,        ,  35.2,   0.00,       ,    9.39,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2024-08-24, 13:24:22,  -05:00,       ,             ,             ,   775.8, 30.20,        ,  35.2,   0.00,       ,   10.85,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 132.40, 129.12,   501.51,   489.10,     0.16,  116.89,   -2.26,   64.50,    0.00,    0.00,     0.14,  120.45,     -0.36,   63.50,    0.00,    0.00,        ,   0,  GPS,  137.7, 109.90, 109.90, 120.400, 121.800,       ,       ,       ,      ,       ,       ,   -3.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
