#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0349", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   41.50,    0.00,    0.00,         ,        ,          ,   49.00,    0.00,    0.00,        ,    ,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:11,  +00:00,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   41.50,    0.00,    0.00,         ,        ,          ,   49.00,    0.00,    0.00,        ,    ,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:12,  +00:00,       ,             ,             ,        , 30.21,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   41.50,    0.00,    0.00,         ,        ,          ,   49.00,    0.00,    0.00,        ,    ,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:13,  +00:00,       ,             ,             ,        , 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   41.50,    0.00,    0.00,         ,        ,          ,   49.00,    0.00,    0.00,        ,    ,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:12,  +00:00,       ,             ,             ,        , 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3,       ,       ,         ,         ,     0.16,  100.19,   -1.96,   41.50,    0.00,    0.00,     0.14,  106.11,     -0.25,   49.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:13,  +00:00,       ,             ,             ,  1024.9, 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.3,  25.3,       ,       ,         ,         ,     0.16,  100.19,   -1.96,   41.50,    0.00,    0.00,     0.14,  106.13,     -0.25,   49.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:14,  +00:00,       ,             ,             ,  1023.9, 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.3,       ,       ,         ,         ,     0.16,  100.19,   -1.96,   41.50,    0.00,    0.00,     0.14,  106.13,     -0.25,   49.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:15,  +00:00,       ,             ,             ,  1023.9, 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.3,       ,       ,         ,         ,     0.16,  100.19,   -1.97,   41.50,    0.00,    0.00,     0.14,  106.13,     -0.25,   49.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:16,  +00:00,       ,             ,             ,  1023.9, 30.21,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,  100.20,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.13,     -0.25,   49.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:17,  +00:00,       ,             ,             ,  1022.9, 30.21,        ,  28.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,  100.20,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.14,     -0.25,   48.50,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:18,  +00:00,       ,             ,             ,  1021.9, 30.21,        ,  28.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 175.77, 173.80,   665.67,   657.21,     0.16,  100.20,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.14,     -0.25,   49.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:19,  +00:00,       ,             ,             ,  1021.9, 30.21,        ,  28.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 175.77, 173.80,   665.67,   657.21,     0.16,  100.21,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.14,     -0.25,   48.50,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:20,  +00:00,       ,             ,             ,  1020.9, 30.21,        ,  28.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 175.77, 173.80,   665.67,   657.21,     0.16,  100.20,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.15,     -0.25,   48.50,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:21,  +00:00,       ,             ,             ,  1021.9, 30.21,        ,  28.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2, 175.77, 173.80,   665.67,   657.21,     0.16,  100.21,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.15,     -0.25,   48.50,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:22,  +00:00,       ,             ,             ,  1021.9, 30.21,        ,  28.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.2, 175.77, 173.80,   665.67,   657.21,     0.16,  100.20,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.15,     -0.25,   48.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:23,  +00:00,       ,             ,             ,  1020.9, 30.21,        ,  28.8,   0.00,       ,  -20.70,       ,       ,       ,       ,      ,      ,  25.1,  25.2, 175.77, 173.80,   665.67,   657.21,     0.16,  100.21,   -1.98,   41.00,    0.00,    0.00,     0.14,  106.15,     -0.25,   48.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:24,  +00:00,       ,             ,             ,  1020.9, 30.21,        ,  28.8,   0.00,       ,  -14.08,       ,       ,       ,       ,      ,      ,  25.1,  25.2, 175.77, 173.80,   665.67,   657.77,     0.16,  100.21,   -1.98,   41.00,    0.00,    0.00,     0.14,  106.15,     -0.25,   48.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:25,  +00:00,       ,             ,             ,  1020.9, 30.21,        ,  28.8,   0.00,       ,  -10.08,       ,       ,       ,       ,      ,      ,  25.1,  25.2, 175.77, 173.80,   665.67,   657.77,     0.16,  100.21,   -1.97,   41.00,    0.00,    0.00,     0.14,  106.15,     -0.25,   48.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-02, 20:21:26,  +00:00,       ,             ,             ,  1019.9, 30.21,        ,  28.8,   0.00,       ,  -10.53,       ,       ,       ,       ,      ,      ,  25.1,  25.2, 175.77, 173.80,   665.67,   657.77,     0.16,  100.20,   -1.98,   41.00,    0.00,    0.00,     0.14,  106.15,     -0.25,   48.00,    0.00,    0.00,        ,   0,  GPS,  155.0, 115.10, 115.10, 121.900, 134.575,       ,       ,       ,      ,       ,       ,   -5.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
