#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0353", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   28.50,    0.00,    0.00,         ,        ,          ,   28.50,    0.00,    0.00,        ,    ,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:31,  +00:00,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   28.50,    0.00,    0.00,         ,        ,          ,   28.50,    0.00,    0.00,        ,    ,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:32,  +00:00,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   28.50,    0.00,    0.00,         ,        ,          ,   28.50,    0.00,    0.00,        ,    ,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:33,  +00:00,       ,             ,             ,        , 30.03,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   28.50,    0.00,    0.00,         ,        ,          ,   28.50,    0.00,    0.00,        ,    ,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:38,  +00:00,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   77.80,   -1.34,   28.50,    0.00,    0.00,     0.14,   80.07,      0.03,   28.50,    0.00,    0.00,        ,    ,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:39,  +00:00,       ,             ,             ,        , 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   77.82,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.07,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:40,  +00:00,       ,             ,             ,   367.4, 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.7,       ,       ,         ,         ,     0.16,   77.82,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.07,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:41,  +00:00,       ,             ,             ,   367.4, 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   77.83,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.08,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:42,  +00:00,       ,             ,             ,   367.4, 30.03,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   77.83,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.08,      0.03,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:43,  +00:00,       ,             ,             ,   366.4, 30.03,        ,  28.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   77.84,   -1.35,   28.50,    0.00,    0.00,     0.13,   80.09,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:44,  +00:00,       ,             ,             ,   366.4, 30.03,        ,  28.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6, 204.35, 204.02,   773.98,   772.29,     0.16,   77.85,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.10,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:45,  +00:00,       ,             ,             ,   366.4, 30.03,        ,  28.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6, 204.35, 204.02,   773.98,   772.29,     0.16,   77.85,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.10,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:46,  +00:00,       ,             ,             ,   366.4, 30.03,        ,  28.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.6, 204.35, 204.02,   773.98,   772.29,     0.16,   77.86,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.11,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:47,  +00:00,       ,             ,             ,   366.4, 30.03,        ,  28.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.6, 204.35, 204.02,   773.98,   772.29,     0.16,   77.86,   -1.35,   28.50,    0.00,    0.00,     0.14,   80.11,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 17:21:48,  +00:00,       ,             ,             ,   366.4, 30.03,        ,  28.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 204.35, 204.02,   773.98,   772.29,     0.16,   77.87,   -1.36,   28.50,    0.00,    0.00,     0.14,   80.11,      0.04,   28.50,    0.00,    0.00,        ,   0,  GPS,   41.5, 115.10, 115.10, 125.600, 125.600,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
