#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0354", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.28,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   40.00,    0.00,    0.00,         ,        ,          ,   32.50,    0.00,    0.00,        ,    ,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:29,  +00:00,       ,             ,             ,        , 30.28,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   40.00,    0.00,    0.00,         ,        ,          ,   32.50,    0.00,    0.00,        ,    ,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:30,  +00:00,       ,             ,             ,        , 30.28,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   40.00,    0.00,    0.00,         ,        ,          ,   32.50,    0.00,    0.00,        ,    ,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:31,  +00:00,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   39.50,    0.00,    0.00,         ,        ,          ,   32.50,    0.00,    0.00,        ,    ,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:31,  +00:00,       ,             ,             ,        , 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.2,  25.2,       ,       ,         ,         ,     0.16,  104.52,   -1.98,   39.50,    0.00,    0.00,     0.14,   98.75,     -0.20,   32.50,    0.00,    0.00,        ,   0,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:32,  +00:00,       ,             ,             ,   642.1, 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  104.53,   -1.98,   40.00,    0.00,    0.00,     0.14,   98.77,     -0.20,   32.50,    0.00,    0.00,        ,   0,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:33,  +00:00,       ,             ,             ,   642.1, 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  104.53,   -1.99,   39.50,    0.00,    0.00,     0.14,   98.77,     -0.20,   32.50,    0.00,    0.00,        ,   0,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:34,  +00:00,       ,             ,             ,   641.1, 30.28,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  104.53,   -1.99,   39.50,    0.00,    0.00,     0.14,   98.77,     -0.20,   32.50,    0.00,    0.00,        ,   0,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:35,  +00:00,       ,             ,             ,   641.1, 30.28,        ,  28.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  104.53,   -1.99,   39.50,    0.00,    0.00,     0.14,   98.78,     -0.20,   32.50,    0.00,    0.00,        ,   0,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-08-31, 21:22:36,  +00:00,       ,             ,             ,   641.1, 30.28,        ,  28.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  104.54,   -1.99,   39.50,    0.00,    0.00,     0.14,   98.78,     -0.20,   32.00,    0.00,    0.00,        ,   0,  GPS,   33.1, 115.10, 115.10, 121.800, 119.175,       ,       ,       ,      ,       ,       ,   -6.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
