#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0361", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,   929.1, 30.11,        ,  13.2,   0.00,       ,    3.82,   0.43,  -1.19,   0.02,   0.00, 304.2,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   929.1, 30.11,        ,  13.2,   0.00,       ,    3.57,   0.43,  -1.19,   0.02,   0.00, 304.2,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   928.1, 30.11,        ,  13.2,   0.00,       ,    2.40,   0.42,  -1.19,   0.02,   0.00, 304.2,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   15.00,    0.00,    0.00,         ,        ,          ,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-19, 19:46:35,  +00:00,       ,             ,             ,   929.1, 30.11,        ,  13.2,   0.00,       ,   -1.47,   0.42,  -1.18,   0.02,   0.00, 304.2,      ,      ,      , 200.41, 205.67,   758.19,   778.50,     0.16,   58.80,   -1.06,   14.50,    0.00,    0.00,     0.14,   60.30,      0.22,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-19, 19:46:36,  +00:00,       ,             ,             ,   929.1, 30.11,        ,  13.2,   0.00,       ,   -3.55,   0.42,  -1.19,   0.02,   0.00, 304.2,      ,  24.2,  24.3, 200.41, 205.67,   758.19,   778.50,     0.16,   58.80,   -1.06,   15.00,    0.00,    0.00,     0.14,   60.30,      0.22,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-19, 19:46:37,  +00:00,       ,             ,             ,   929.1, 30.11,        ,  13.2,   0.00,       ,   -3.16,   0.43,  -1.18,   0.02,  -0.00, 304.2,      ,  24.3,  24.3, 200.41, 205.67,   758.19,   778.50,     0.16,   58.81,   -1.06,   15.00,    0.00,    0.00,     0.14,   60.31,      0.22,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-19, 19:46:38,  +00:00,       ,             ,             ,   930.1, 30.11,        ,  13.2,   0.00,       ,   -1.85,   0.43,  -1.19,   0.02,   0.00, 304.2,      ,  24.3,  24.3, 200.41, 205.67,   758.19,   778.50,     0.16,   58.80,   -1.06,   14.50,    0.00,    0.00,     0.14,   60.30,      0.22,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-19, 19:46:39,  +00:00,       ,             ,             ,   930.1, 30.11,        ,  13.2,   0.00,       ,    2.11,   0.43,  -1.19,   0.02,  -0.00, 304.2,      ,  24.3,  24.3, 200.41, 205.67,   758.19,   778.50,     0.16,   58.80,   -1.06,   14.50,    0.00,    0.00,     0.13,   60.31,      0.22,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-19, 19:46:40,  +00:00,       ,             ,             ,   930.1, 30.11,        ,  13.5,   0.00,       ,    6.32,   0.43,  -1.19,   0.02,   0.00, 304.2,      ,  24.3,  24.3, 200.41, 205.67,   758.19,   778.50,     0.16,   58.80,   -1.06,   15.00,    0.00,    0.00,     0.13,   60.31,      0.22,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-19, 19:46:41,  +00:00,       ,             ,             ,   929.1, 30.11,        ,  13.5,   0.00,       ,    8.80,   0.43,  -1.19,   0.02,   0.00, 304.1,      ,  24.3,  24.3, 200.41, 205.67,   758.19,   778.50,     0.16,   58.80,   -1.06,   14.50,    0.00,    0.00,     0.13,   60.30,      0.22,   15.00,    0.00,    0.00,        ,   0,  GPS,  279.6, 115.10, 115.10, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
