#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0374", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.86,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   21.00,    0.00,    0.00,         ,        ,          ,   43.50,    0.00,    0.00,        ,    ,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:13,  +00:00,       ,             ,             ,        , 29.86,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   21.00,    0.00,    0.00,         ,        ,          ,   43.50,    0.00,    0.00,        ,    ,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:14,  +00:00,       ,             ,             ,        , 29.86,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   21.00,    0.00,    0.00,         ,        ,          ,   43.50,    0.00,    0.00,        ,    ,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:15,  +00:00,       ,             ,             ,        , 29.86,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   21.00,    0.00,    0.00,         ,        ,          ,   43.50,    0.00,    0.00,        ,    ,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2025-10-30, 19:39:16,  +00:00,       ,             ,             ,        , 29.86,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,         ,   67.76,   -1.14,   21.00,    0.00,    0.00,         ,   78.90,      0.02,   43.50,    0.00,    0.00,        ,    ,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:16,  +00:00,       ,             ,             ,        , 29.86,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   67.75,   -1.14,   21.00,    0.00,    0.00,     0.14,   78.91,      0.02,   43.50,    0.00,    0.00,        ,    ,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:17,  +00:00,       ,             ,             ,        , 29.86,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   67.77,   -1.15,   21.00,    0.00,    0.00,     0.14,   78.91,      0.02,   43.50,    0.00,    0.00,        ,   0,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:18,  +00:00,       ,             ,             ,  3376.3, 29.86,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   67.77,   -1.15,   21.00,    0.00,    0.00,     0.14,   78.92,      0.02,   43.50,    0.00,    0.00,        ,   0,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:19,  +00:00,       ,             ,             ,  3376.3, 29.86,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   67.77,   -1.15,   21.00,    0.00,    0.00,     0.14,   78.92,      0.02,   43.50,    0.00,    0.00,        ,   0,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-30, 19:39:20,  +00:00,       ,             ,             ,  3375.3, 29.86,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   67.78,   -1.15,   21.00,    0.00,    0.00,     0.14,   78.92,      0.02,   43.50,    0.00,    0.00,        ,   0,  GPS,  320.0, 115.10, 115.10, 122.725, 118.850,       ,       ,       ,      ,       ,       ,    5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
