#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0381", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   30.00,    0.00,    0.00,         ,        ,          ,   26.50,    0.00,    0.00,        ,    ,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:02,  +00:00,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   29.50,    0.00,    0.00,         ,        ,          ,   26.50,    0.00,    0.00,        ,    ,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:03,  +00:00,       ,             ,             ,        , 29.79,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   29.50,    0.00,    0.00,         ,        ,          ,   26.50,    0.00,    0.00,        ,    ,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:04,  +00:00,       ,             ,             ,        , 29.79,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   29.50,    0.00,    0.00,         ,        ,          ,   27.00,    0.00,    0.00,        ,    ,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:04,  +00:00,       ,             ,             ,        , 29.79,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.2,       ,       ,         ,         ,     0.16,   85.24,   -1.74,   29.50,    0.00,    0.00,     0.14,   75.88,      0.01,   27.00,    0.00,    0.00,        ,   0,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:05,  +00:00,       ,             ,             ,   790.4, 29.79,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.2,       ,       ,         ,         ,     0.16,   85.26,   -1.74,   29.50,    0.00,    0.00,     0.14,   75.90,      0.01,   27.00,    0.00,    0.00,        ,   0,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:06,  +00:00,       ,             ,             ,   790.4, 29.79,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,   85.26,   -1.75,   29.50,    0.00,    0.00,     0.14,   75.90,      0.01,   27.00,    0.00,    0.00,        ,   0,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:07,  +00:00,       ,             ,             ,   790.4, 29.79,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,   85.26,   -1.75,   29.50,    0.00,    0.00,     0.13,   75.92,      0.01,   27.00,    0.00,    0.00,        ,   0,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:08,  +00:00,       ,             ,             ,   790.4, 29.79,        ,  18.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,   85.27,   -1.75,   29.50,    0.00,    0.00,     0.13,   75.93,      0.01,   27.00,    0.00,    0.00,        ,   0,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-10-31, 00:54:09,  +00:00,       ,             ,             ,   789.4, 29.79,        ,  18.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,   85.28,   -1.75,   29.50,    0.00,    0.00,     0.14,   75.94,      0.01,   27.00,    0.00,    0.00,        ,   0,  GPS,   26.7, 115.10, 115.10, 122.800, 121.575,       ,       ,       ,      ,       ,       ,   -4.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
