#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0388", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,   596.8, 30.15,        ,  23.5,   0.00,       ,    0.00,  -0.60,  -0.29,   0.00,   0.00, 215.7,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   596.8, 30.15,        ,  23.5,   0.00,       ,    0.00,  -0.59,  -0.30,   0.00,   0.00, 215.6,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 17:56:29,  +00:00,       ,             ,             ,   596.8, 30.15,        ,  23.5,   0.00,       ,    0.00,  -0.59,  -0.30,   0.00,  -0.00, 215.6,      ,      ,      ,       ,       ,         ,         ,     0.16,   65.06,   -1.12,   23.50,    0.00,    0.00,     0.14,   60.56,      0.23,   20.00,    0.00,    0.00,        ,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 17:56:30,  +00:00,       ,             ,             ,   596.8, 30.15,        ,  23.5,   0.00,       ,    0.00,  -0.59,  -0.29,   0.00,   0.00, 215.6,      ,  24.4,  24.5, 206.32, 206.00,   780.75,   779.63,     0.16,   65.06,   -1.12,   23.50,    0.00,    0.00,     0.14,   60.56,      0.23,   20.00,    0.00,    0.00,        ,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 17:56:31,  +00:00,       ,             ,             ,   596.8, 30.15,        ,  23.8,   0.00,       ,    0.00,  -0.60,  -0.30,   0.01,   0.00, 215.6,      ,  24.5,  24.5, 206.32, 206.00,   780.75,   779.63,     0.16,   65.06,   -1.12,   23.50,    0.00,    0.00,     0.13,   60.56,      0.23,   20.00,    0.00,    0.00,        ,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 17:56:32,  +00:00,       ,             ,             ,   596.8, 30.15,        ,  23.8,   0.00,       ,    0.00,  -0.60,  -0.30,   0.00,  -0.00, 215.6,      ,  24.5,  24.5, 206.32, 206.00,   780.75,   779.63,     0.16,   65.06,   -1.12,   23.50,    0.00,    0.00,     0.14,   60.56,      0.23,   20.00,    0.00,    0.00,        ,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 17:56:33,  +00:00,       ,   41.6164627,  -87.4069366,   596.8, 30.15,   565.2,  23.8,   0.00,   2.22,    0.00,  -0.60,  -0.29,   0.00,   0.00, 215.7, 276.7,  24.5,  24.5, 206.32, 206.00,   780.75,   779.63,     0.16,   65.06,   -1.12,   23.50,    0.00,    0.00,     0.14,   60.56,      0.22,   20.00,    0.00,    0.00,   453.5,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      , -51.2,     3D, 3704,      ,       ,      ,       
2025-11-23, 17:56:34,  +00:00,       ,   41.6164474,  -87.4069443,   596.8, 30.15,   560.3,  23.8,   0.00,   3.38,    0.00,  -0.59,  -0.29,   0.00,   0.00, 215.7, 274.3,  24.5,  24.5, 206.32, 206.00,   780.75,   779.63,     0.16,   65.06,   -1.12,   23.50,    0.00,    0.00,     0.14,   60.56,      0.22,   20.00,    0.00,    0.00,   448.6,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       , 611.0,       
2025-11-23, 17:56:35,  +00:00,       ,   41.6164513,  -87.4069672,   596.8, 30.15,   557.4,  23.8,   0.00,   3.40,    0.00,  -0.59,  -0.27,   0.00,   0.00, 215.7, 274.6,  24.5,  24.5, 206.32, 206.00,   780.75,   779.63,     0.16,   65.06,   -1.12,   23.50,    0.00,    0.00,     0.14,   60.56,      0.23,   20.00,    0.00,    0.00,   445.6,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 593.5,       
2025-11-23, 17:56:36,  +00:00,       ,   41.6164589,  -87.4070129,   596.8, 30.15,   557.2,  23.8,   0.00,   3.38,    0.00,  -0.60,  -0.29,   0.00,  -0.00, 215.7, 274.2,  24.5,  24.5, 206.32, 206.00,   780.75,   779.63,     0.16,   65.07,   -1.12,   23.50,    0.00,    0.00,     0.14,   60.56,      0.23,   20.00,    0.00,    0.00,   445.5,   0,  GPS,  277.2, 109.70, 109.70, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 588.5,       
