#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0389", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.97,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  121.00,    0.00,    0.00,         ,        ,          ,  120.50,    0.00,    0.00,        ,    ,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:14,  +00:00,       ,             ,             ,        , 29.97,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  120.50,    0.00,    0.00,         ,        ,          ,  120.50,    0.00,    0.00,        ,    ,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:15,  +00:00,       ,             ,             ,        , 29.97,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  121.00,    0.00,    0.00,         ,        ,          ,  120.50,    0.00,    0.00,        ,    ,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:16,  +00:00,       ,             ,             ,        , 29.97,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,  121.00,    0.00,    0.00,         ,        ,          ,  120.50,    0.00,    0.00,        ,    ,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:16,  +00:00,       ,             ,             ,        , 29.97,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.1,  25.1,       ,       ,         ,         ,     0.16,  131.81,   -2.99,  121.00,    0.00,    0.00,     0.14,  126.02,     -0.20,  120.50,    0.00,    0.00,        ,   0,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:17,  +00:00,       ,             ,             ,   205.0, 29.97,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  25.1,       ,       ,         ,         ,     0.16,  131.82,   -3.01,  121.00,    0.00,    0.00,     0.14,  126.03,     -0.20,  120.50,    0.00,    0.00,        ,   0,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:18,  +00:00,       ,             ,             ,   204.0, 29.97,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  25.1,       ,       ,         ,         ,     0.16,  131.82,   -3.01,  120.50,    0.00,    0.00,     0.14,  126.03,     -0.20,  120.00,    0.00,    0.00,        ,   0,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:19,  +00:00,       ,             ,             ,   203.0, 29.97,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  25.0,       ,       ,         ,         ,     0.16,  131.81,   -3.01,  120.50,    0.00,    0.00,     0.14,  126.02,     -0.20,  120.00,    0.00,    0.00,        ,   0,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:20,  +00:00,       ,             ,             ,   203.0, 29.97,        ,  19.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  25.0,       ,       ,         ,         ,     0.16,  131.80,   -3.01,  120.50,    0.00,    0.00,     0.14,  126.01,     -0.20,  120.00,    0.00,    0.00,        ,   0,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-23, 19:56:21,  +00:00,       ,             ,             ,   203.0, 29.97,        ,  19.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  25.0,  25.0,       ,       ,         ,         ,     0.16,  131.80,   -3.02,  120.50,    0.00,    0.00,     0.14,  126.00,     -0.20,  120.00,    0.00,    0.00,        ,   0,  GPS,   63.0, 109.70, 109.70, 133.100, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
