#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0391", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:06:57,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:06:58,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:06:59,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:06:59,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.9,       ,       ,         ,         ,     0.16,   51.50,   -0.95,    9.50,    0.00,    0.00,     0.14,   52.66,      0.25,    9.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:00,  +00:00,       ,             ,             ,        , 30.20,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.9,       ,       ,         ,         ,     0.16,   51.51,   -0.96,    9.50,    0.00,    0.00,     0.14,   52.67,      0.25,    9.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:01,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8,       ,       ,         ,         ,     0.16,   51.51,   -0.96,    9.50,    0.00,    0.00,     0.14,   52.67,      0.25,    9.50,    0.00,    0.00,        ,    ,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:02,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8,       ,       ,         ,         ,     0.16,   51.51,   -0.96,    9.50,    0.00,    0.00,     0.14,   52.67,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:03,  +00:00,       ,             ,             ,        , 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8,       ,       ,         ,         ,     0.16,   51.51,   -0.97,    9.50,    0.00,    0.00,     0.13,   52.68,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:04,  +00:00,       ,             ,             ,   496.8, 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8,       ,       ,         ,         ,     0.16,   51.52,   -0.97,    9.50,    0.00,    0.00,     0.14,   52.68,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:05,  +00:00,       ,             ,             ,   495.8, 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8, 204.68, 201.73,   775.11,   763.27,     0.16,   51.52,   -0.97,    9.50,    0.00,    0.00,     0.13,   52.69,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:06,  +00:00,       ,             ,             ,   495.8, 30.20,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.8,  24.8, 204.68, 201.73,   775.11,   763.27,     0.16,   51.52,   -0.97,    9.50,    0.00,    0.00,     0.13,   52.69,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:07,  +00:00,       ,             ,             ,   495.8, 30.20,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.8, 204.68, 201.73,   775.11,   763.27,     0.16,   51.53,   -0.97,    9.50,    0.00,    0.00,     0.14,   52.69,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:08,  +00:00,       ,             ,             ,   495.8, 30.20,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.8, 204.68, 201.73,   775.11,   763.27,     0.16,   51.53,   -0.97,    9.50,    0.00,    0.00,     0.13,   52.69,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:09,  +00:00,       ,             ,             ,   494.8, 30.20,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.8, 204.68, 201.73,   775.11,   763.27,     0.16,   51.53,   -0.97,    9.50,    0.00,    0.00,     0.13,   52.70,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-25, 22:07:10,  +00:00,       ,             ,             ,   494.8, 30.20,        ,   9.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.8, 204.68, 201.73,   775.11,   763.27,     0.16,   51.54,   -0.97,    9.50,    0.00,    0.00,     0.13,   52.70,      0.25,    9.50,    0.00,    0.00,        ,   0,  GPS,  257.4, 109.70, 109.70, 118.575, 121.825,       ,       ,       ,      ,       ,       ,  -12.7,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
