#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0393", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:02,  +00:00,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:03,  +00:00,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:04,  +00:00,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    9.50,    0.00,    0.00,         ,        ,          ,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:05,  +00:00,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  24.4,       ,       ,         ,         ,     0.16,   48.96,   -0.84,    9.50,    0.00,    0.00,     0.11,   49.29,      0.33,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:06,  +00:00,       ,             ,             ,        , 30.18,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  24.4,       ,       ,         ,         ,     0.16,   48.98,   -0.84,    9.50,    0.00,    0.00,     0.14,   49.31,      0.33,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:07,  +00:00,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.4,       ,       ,         ,         ,     0.16,   48.98,   -0.84,    9.50,    0.00,    0.00,     0.14,   49.31,      0.33,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:08,  +00:00,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.4,       ,       ,         ,         ,     0.16,   48.98,   -0.85,    9.50,    0.00,    0.00,     0.14,   49.32,      0.33,    9.50,    0.00,    0.00,        ,    ,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:09,  +00:00,       ,             ,             ,        , 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.4,       ,       ,         ,         ,     0.16,   48.99,   -0.85,    9.50,    0.00,    0.00,     0.14,   49.33,      0.33,    9.50,    0.00,    0.00,        ,   0,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2025-11-30, 17:37:10,  +00:00,       ,             ,             ,   -42.6, 30.18,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  24.3,       ,       ,         ,         ,     0.16,   49.00,   -0.85,    9.50,    0.00,    0.00,     0.14,   49.33,      0.33,    9.50,    0.00,    0.00,        ,   0,  GPS,   64.7, 109.70, 109.70, 118.300, 132.500,       ,       ,       ,      ,       ,       ,  -14.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
