#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0404", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,    36.8, 30.05,        ,  16.5,   0.00,       ,    0.00,  -0.27,  -0.55,   0.01,  -0.00, 159.3,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,    36.8, 30.05,        ,  16.5,   0.00,       ,    0.00,  -0.27,  -0.54,   0.01,   0.00, 159.3,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 17:29:32,  +00:00,       ,             ,             ,    36.8, 30.05,        ,  16.5,   0.00,       ,    0.00,  -0.26,  -0.55,   0.01,   0.00, 159.3,      ,      ,      ,       ,       ,   766.65,   779.06,     0.16,   61.99,   -1.10,   16.50,    0.00,    0.00,     0.13,   62.93,      0.21,   16.50,    0.00,    0.00,        ,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 17:29:33,  +00:00,       ,   33.6766472, -117.8709259,    36.8, 30.05,    37.7,  16.5,   0.00,   0.00,    0.00,  -0.27,  -0.54,   0.01,  -0.00, 159.3, 258.3,  24.4,  24.4, 202.38, 205.67,   766.65,   779.06,     0.16,   61.99,   -1.10,   16.50,    0.00,    0.00,     0.14,   62.93,      0.21,   16.50,    0.00,    0.00,   -76.3,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.5,       
2026-01-04, 17:29:34,  +00:00,       ,   33.6766434, -117.8709259,    36.8, 30.05,    38.2,  16.5,   0.00,   0.00,    0.00,  -0.27,  -0.54,   0.02,  -0.00, 159.3, 258.3,  24.4,  24.5, 202.38, 205.67,   766.65,   779.06,     0.16,   62.00,   -1.10,   16.50,    0.00,    0.00,     0.14,   62.93,      0.21,   16.50,    0.00,    0.00,   -75.8,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.5,       
2026-01-04, 17:29:35,  +00:00,       ,   33.6766434, -117.8709259,    36.8, 30.05,    39.1,  16.5,   0.00,   0.00,    0.00,  -0.29,  -0.54,   0.01,   0.00, 159.3, 258.3,  24.4,  24.5, 202.38, 205.67,   766.65,   779.06,     0.16,   61.99,   -1.10,   16.50,    0.00,    0.00,     0.14,   62.93,      0.21,   16.50,    0.00,    0.00,   -74.9,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  69.5,       
2026-01-04, 17:29:36,  +00:00,       ,   33.6766434, -117.8709259,    36.8, 30.05,    39.0,  16.5,   0.00,   0.00,    0.00,  -0.29,  -0.55,   0.01,   0.00, 159.3, 258.3,  24.5,  24.5, 202.38, 205.67,   766.65,   779.06,     0.16,   61.99,   -1.10,   16.50,    0.00,    0.00,     0.14,   62.93,      0.21,   16.50,    0.00,    0.00,   -75.1,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       ,  69.5,       
2026-01-04, 17:29:37,  +00:00,       ,   33.6766434, -117.8709106,    36.8, 30.05,    43.3,  16.5,   0.00,   0.00,    0.00,  -0.29,  -0.55,   0.01,   0.00, 159.3, 258.3,  24.5,  24.5, 202.38, 205.67,   766.65,   779.06,     0.16,   61.99,   -1.10,   16.50,    0.00,    0.00,     0.14,   62.93,      0.21,   16.50,    0.00,    0.00,   -70.7,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  81.0,       
2026-01-04, 17:29:38,  +00:00,       ,   33.6766434, -117.8709106,    35.8, 30.05,    42.9,  16.5,   0.00,   0.00,    0.00,  -0.30,  -0.55,   0.01,  -0.00, 159.3, 258.3,  24.5,  24.5, 202.38, 205.67,   766.65,   779.06,     0.16,   61.99,   -1.10,   16.50,    0.00,    0.00,     0.14,   62.94,      0.21,   16.50,    0.00,    0.00,   -71.1,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  81.0,       
2026-01-04, 17:29:39,  +00:00,       ,   33.6766434, -117.8709106,    35.8, 30.05,    42.1,  16.5,   0.00,   0.00,    0.00,  -0.31,  -0.55,   0.01,   0.00, 159.3, 258.3,  24.5,  24.5, 202.38, 205.67,   766.65,   779.06,     0.16,   61.99,   -1.10,   16.50,    0.00,    0.00,     0.14,   62.94,      0.21,   16.50,    0.00,    0.00,   -71.9,   0,  GPS,  353.0, 109.70, 109.70, 120.800, 126.000,       ,       ,       ,      ,       ,       ,   11.2,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  81.0,       
