#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0405", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 29.85,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   76.50,    0.00,    0.00,         ,        ,          ,   74.00,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:04,  +00:00,       ,             ,             ,        , 29.85,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   76.50,    0.00,    0.00,         ,        ,          ,   73.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:05,  +00:00,       ,             ,             ,        , 29.85,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   76.50,    0.00,    0.00,         ,        ,          ,   73.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:06,  +00:00,       ,             ,             ,        , 29.85,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   76.00,    0.00,    0.00,         ,        ,          ,   73.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:06,  +00:00,       ,             ,             ,        , 29.85,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.7,       ,       ,         ,         ,     0.16,  117.21,   -2.62,   76.00,    0.00,    0.00,     0.14,  112.79,     -0.15,   73.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:07,  +00:00,       ,             ,             ,  1488.0, 29.85,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,  117.21,   -2.62,   76.00,    0.00,    0.00,     0.14,  112.78,     -0.16,   73.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:08,  +00:00,       ,             ,             ,  1487.0, 29.85,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,  117.21,   -2.63,   76.00,    0.00,    0.00,     0.14,  112.78,     -0.15,   73.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:09,  +00:00,       ,             ,             ,  1487.0, 29.85,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,  117.21,   -2.63,   76.00,    0.00,    0.00,     0.14,  112.78,     -0.15,   73.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:10,  +00:00,       ,             ,             ,  1487.0, 29.85,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,  117.20,   -2.63,   76.00,    0.00,    0.00,     0.13,  112.77,     -0.15,   73.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-04, 20:48:11,  +00:00,       ,             ,             ,  1486.0, 29.85,        ,  17.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,  117.20,   -2.63,   76.00,    0.00,    0.00,     0.14,  112.76,     -0.15,   73.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 122.800, 121.125,       ,       ,       ,      ,       ,       ,    3.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
