#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0407", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.09,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   14.50,    0.00,    0.00,         ,        ,          ,   14.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:40,  +00:00,       ,             ,             ,        , 30.09,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   14.50,    0.00,    0.00,         ,        ,          ,   14.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:41,  +00:00,       ,             ,             ,        , 30.09,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   14.50,    0.00,    0.00,         ,        ,          ,   14.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:42,  +00:00,       ,             ,             ,        , 30.09,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   14.50,    0.00,    0.00,         ,        ,          ,   14.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:44,  +00:00,       ,             ,             ,        , 30.09,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5,       ,       ,         ,         ,     0.16,   59.17,   -1.26,   14.50,    0.00,    0.00,     0.14,   60.13,      0.28,   14.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:45,  +00:00,       ,             ,             ,        , 30.09,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5,       ,       ,         ,         ,     0.16,   59.19,   -1.26,   14.50,    0.00,    0.00,     0.14,   60.13,      0.27,   14.50,    0.00,    0.00,        ,    ,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:46,  +00:00,       ,             ,             ,        , 30.09,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5,       ,       ,         ,         ,     0.16,   59.19,   -1.26,   14.50,    0.00,    0.00,     0.14,   60.13,      0.27,   14.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:47,  +00:00,       ,             ,             ,   447.7, 30.09,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5,       ,       ,         ,         ,     0.16,   59.20,   -1.27,   14.50,    0.00,    0.00,     0.13,   60.14,      0.27,   14.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:48,  +00:00,       ,             ,             ,   447.7, 30.09,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5,       ,       ,         ,         ,     0.16,   59.20,   -1.27,   14.50,    0.00,    0.00,     0.13,   60.14,      0.27,   14.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:49,  +00:00,       ,             ,             ,   446.7, 30.09,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5,       ,       ,         ,         ,     0.16,   59.19,   -1.27,   14.50,    0.00,    0.00,     0.14,   60.14,      0.27,   14.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:50,  +00:00,       ,             ,             ,   446.7, 30.09,        ,   1.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 203.04, 205.01,   768.34,   775.68,     0.16,   59.19,   -1.26,   14.50,    0.00,    0.00,     0.14,   60.14,      0.27,   14.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:51,  +00:00,       ,             ,             ,   446.7, 30.09,        ,   1.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 203.04, 205.01,   768.34,   775.68,     0.16,   59.19,   -1.27,   14.50,    0.00,    0.00,     0.13,   60.13,      0.27,   14.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-11, 14:17:52,  +00:00,       ,             ,             ,   446.7, 30.09,        ,   1.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 203.04, 205.01,   768.34,   775.68,     0.16,   59.19,   -1.27,   14.50,    0.00,    0.00,     0.13,   60.13,      0.27,   14.50,    0.00,    0.00,        ,   0,  GPS,   84.0, 109.70, 109.70, 125.600, 130.300,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
