#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0425", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,   741.9, 30.27,        ,  -3.2,   0.00,       ,   -9.78,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   741.9, 30.27,        ,  -3.2,   0.00,       ,  -11.64,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   740.9, 30.27,        ,  -3.2,   0.00,       ,  -10.03,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,    7.00,    0.00,    0.00,         ,        ,          ,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-27, 17:48:54,  +00:00,       ,             ,             ,   740.9, 30.27,        ,  -3.2,   0.00,       ,   -9.19,       ,       ,       ,       ,      ,      ,  24.4,  24.4, 206.98, 206.98,   783.57,   783.57,     0.16,   51.07,   -1.01,    7.00,    0.00,    0.00,     0.14,   52.18,      0.38,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-27, 17:48:55,  +00:00,       ,             ,             ,   740.9, 30.27,        ,  -3.2,   0.00,       ,   -7.37,       ,       ,       ,       ,      ,      ,  24.4,  24.5, 206.98, 206.98,   783.57,   783.57,     0.16,   51.07,   -1.01,    7.00,    0.00,    0.00,     0.14,   52.17,      0.38,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-27, 17:48:56,  +00:00,       ,             ,             ,   740.9, 30.27,        ,  -3.2,   0.00,       ,   -5.83,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 206.98, 206.98,   783.57,   783.57,     0.16,   51.06,   -1.01,    6.50,    0.00,    0.00,     0.13,   52.17,      0.38,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-27, 17:48:57,  +00:00,       ,             ,             ,   740.9, 30.27,        ,  -3.2,   0.00,       ,   -7.35,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 206.98, 206.98,   783.57,   783.57,     0.16,   51.06,   -1.01,    7.00,    0.00,    0.00,     0.13,   52.16,      0.38,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-27, 17:48:58,  +00:00,       ,             ,             ,   740.9, 30.27,        ,  -3.2,   0.00,       ,   -9.66,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 206.98, 206.98,   783.57,   783.57,     0.16,   51.05,   -1.01,    6.50,    0.00,    0.00,     0.13,   52.16,      0.38,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-27, 17:48:59,  +00:00,       ,             ,             ,   740.9, 30.27,        ,  -3.2,   0.00,       ,   -9.07,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 206.98, 206.98,   783.57,   783.57,     0.16,   51.05,   -1.01,    6.50,    0.00,    0.00,     0.13,   52.15,      0.38,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-27, 17:49:00,  +00:00,       ,             ,             ,   741.9, 30.27,        ,  -3.2,   0.00,       ,   -4.20,       ,       ,       ,       ,      ,      ,  24.5,  24.5, 206.98, 206.98,   783.57,   783.57,     0.16,   51.04,   -1.01,    6.50,    0.00,    0.00,     0.13,   52.15,      0.38,    6.00,    0.00,    0.00,        ,   0,  GPS,  338.5, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
