#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0426", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   20.00,    0.00,    0.00,         ,        ,          ,   24.00,    0.00,    0.00,        ,    ,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:24,  +00:00,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   20.00,    0.00,    0.00,         ,        ,          ,   24.00,    0.00,    0.00,        ,    ,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:25,  +00:00,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   20.00,    0.00,    0.00,         ,        ,          ,   24.00,    0.00,    0.00,        ,    ,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:26,  +00:00,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   20.00,    0.00,    0.00,         ,        ,          ,   24.00,    0.00,    0.00,        ,    ,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:26,  +00:00,       ,             ,             ,        , 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   60.01,   -1.00,   20.00,    0.00,    0.00,     0.14,   74.41,      0.06,   24.00,    0.00,    0.00,        ,    ,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:27,  +00:00,       ,             ,             ,        , 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   60.01,   -1.00,   20.00,    0.00,    0.00,     0.14,   74.41,      0.07,   24.00,    0.00,    0.00,        ,    ,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:28,  +00:00,       ,             ,             ,        , 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.7,  24.7,       ,       ,         ,         ,     0.16,   60.02,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.41,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:29,  +00:00,       ,             ,             ,   183.9, 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.7,       ,       ,         ,         ,     0.16,   60.03,   -1.01,   20.00,    0.00,    0.00,     0.14,   74.41,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:30,  +00:00,       ,             ,             ,   183.9, 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.7,       ,       ,         ,         ,     0.16,   60.04,   -1.01,   20.00,    0.00,    0.00,     0.13,   74.42,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:31,  +00:00,       ,             ,             ,   183.9, 30.33,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,       ,       ,         ,         ,     0.16,   60.04,   -1.01,   20.00,    0.00,    0.00,     0.14,   74.42,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:32,  +00:00,       ,             ,             ,   182.9, 30.33,        ,  20.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.04,   -1.01,   20.00,    0.00,    0.00,     0.14,   74.43,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:33,  +00:00,       ,             ,             ,   182.9, 30.33,        ,  20.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.05,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.44,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:34,  +00:00,       ,             ,             ,   182.9, 30.33,        ,  20.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.05,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.44,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:35,  +00:00,       ,             ,             ,   182.9, 30.33,        ,  20.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.06,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.45,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:36,  +00:00,       ,             ,             ,   182.9, 30.33,        ,  20.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.06,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.45,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:37,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.06,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.46,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:38,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.07,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.46,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:39,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.07,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.47,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:40,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.8,   0.00,       ,  -13.94,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.08,   -1.01,   20.50,    0.00,    0.00,     0.13,   74.47,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:41,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.8,   0.00,       ,  -12.66,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.08,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.47,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:42,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.8,   0.00,       ,  -11.14,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.09,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.48,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:43,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.8,   0.00,       ,   -8.24,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.09,   -1.01,   20.50,    0.00,    0.00,     0.14,   74.48,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:44,  +00:00,       ,             ,             ,   181.9, 30.33,        ,  20.8,   0.00,       ,   -5.59,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.09,   -1.02,   20.50,    0.00,    0.00,     0.14,   74.49,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:45,  +00:00,       ,             ,             ,   180.9, 30.33,        ,  20.8,   0.00,       ,   -3.70,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.09,   -1.02,   20.50,    0.00,    0.00,     0.13,   74.49,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:46,  +00:00,       ,             ,             ,   180.9, 30.33,        ,  20.5,   0.00,       ,   -5.03,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.10,   -1.02,   20.50,    0.00,    0.00,     0.13,   74.49,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:47,  +00:00,       ,             ,             ,   180.9, 30.33,        ,  20.5,   0.00,       ,   -7.85,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.10,   -1.02,   20.50,    0.00,    0.00,     0.14,   74.49,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-01-28, 19:44:50,  +00:00,       ,             ,             ,   180.9, 30.33,        ,  20.5,   0.00,       ,  -10.46,       ,       ,       ,       ,      ,      ,  24.6,  24.6,  98.23, 101.19,   372.32,   383.04,     0.16,   60.10,   -1.02,   20.50,    0.00,    0.00,     0.14,   74.50,      0.07,   24.00,    0.00,    0.00,        ,   0,  GPS,   93.6, 116.30, 116.30, 122.700, 122.700,       ,       ,       ,      ,       ,       ,   -6.8,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
