#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Embraer Phenom 100", unit_software_part_number="006-B1177-E1", unit_software_version="20.92.3", system_software_part_number="006-B3643-06", system_id="24A97A379", mode=NORMAL, flightstream_header="24A97A379_0449", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      lbs,      lbs,      gph,   deg F,     psi,   deg C,       %,       %,      gph,   deg F,       psi,   deg C,       %,       %,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 OilT, E1 OilP,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 OilT,   E2 OilP,  E2 ITT,   E2 N1,   E2 N2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.02,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,    ,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.02,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,        ,        ,        ,         ,        ,          ,        ,        ,        ,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,   456.2, 30.02,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:17,  +00:00,       ,             ,             ,   456.2, 30.02,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:18,  +00:00,       ,             ,             ,   455.2, 30.02,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:19,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,       ,       ,         ,         ,         ,        ,        ,   17.50,    0.00,    0.00,         ,        ,          ,   17.50,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:20,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.4,  28.4,       ,       ,         ,         ,     0.16,   65.12,   -1.14,   17.50,    0.00,    0.00,     0.14,   66.28,      0.18,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:21,  +00:00,       ,             ,             ,   456.2, 30.02,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4,       ,       ,         ,         ,     0.16,   65.12,   -1.15,   17.50,    0.00,    0.00,     0.13,   66.28,      0.19,   17.50,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:22,  +00:00,       ,             ,             ,   456.2, 30.02,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4,       ,       ,         ,         ,     0.16,   65.12,   -1.15,   17.50,    0.00,    0.00,     0.14,   66.29,      0.19,   17.50,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:23,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.3,  28.4,       ,       ,         ,         ,     0.16,   65.13,   -1.15,   17.50,    0.00,    0.00,     0.14,   66.30,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:24,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  28.4,  28.4,  92.32,  94.62,   349.76,   357.66,     0.16,   65.14,   -1.15,   17.50,    0.00,    0.00,     0.14,   66.31,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:25,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  28.4,  28.5,  92.32,  94.62,   349.76,   357.66,     0.16,   65.14,   -1.15,   17.50,    0.00,    0.00,     0.14,   66.31,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:26,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  28.4,  28.5,  92.32,  94.62,   349.76,   357.66,     0.16,   65.14,   -1.15,   17.50,    0.00,    0.00,     0.14,   66.32,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:27,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  28.5,  28.5,  92.32,  94.62,   349.76,   357.66,     0.16,   65.14,   -1.16,   17.50,    0.00,    0.00,     0.14,   66.33,      0.19,   17.50,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:28,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  28.5,  28.5,  92.32,  94.62,   349.76,   357.66,     0.16,   65.15,   -1.16,   17.50,    0.00,    0.00,     0.13,   66.33,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:29,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  28.5,  28.5,  92.32,  94.62,   349.76,   357.66,     0.16,   65.15,   -1.16,   17.50,    0.00,    0.00,     0.14,   66.34,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:30,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  28.5,  28.5,  92.32,  94.62,   349.76,   357.66,     0.16,   65.16,   -1.16,   17.50,    0.00,    0.00,     0.14,   66.34,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:31,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,   -0.00,       ,       ,       ,       ,      ,      ,  28.5,  28.5,  92.32,  94.62,   349.76,   357.66,     0.16,   65.16,   -1.16,   17.50,    0.00,    0.00,     0.14,   66.34,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2026-04-09, 16:34:32,  +00:00,       ,             ,             ,   455.2, 30.02,        ,  17.2,   0.00,       ,   -2.25,       ,       ,       ,       ,      ,      ,  28.5,  28.6,  92.32,  94.62,   349.76,   357.66,     0.16,   65.17,   -1.16,   17.50,    0.00,    0.00,     0.14,   66.34,      0.19,   17.00,    0.00,    0.00,        ,   0,  GPS,   39.0, 116.30, 116.30, 125.600, 134.575,       ,       ,       ,      ,       ,       ,   -4.3,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
