IDENT LAT_DEG LON_DEG LAT_RAD LON_RAD UNIT_X UNIT_Y UNIT_Z
NSTU -14.3316622200 -170.7115030500 -0.25013469302267993 -2.9794777992508421 -0.95617528341078073 -0.15638259859731468 -0.24753446275269333
NSFQ -14.2161122200 -169.4235494400 -0.24811796507200046 -2.9569987681433947 -0.95290747074202808 -0.17792644037677222 -0.24557999515205203
NSAS -14.1843430500 -169.6701000000 -0.24756348845487469 -2.9613018871880308 -0.953798099319213 -0.17384872182653574 -0.24504246092123771
FHAW -7.9695972200 -14.3936638800 -0.13909571154678688 -0.25121682613138202 0.95925560064600823 -0.246181906279545 -0.13864761681989132
FJDG -7.3132341600 72.4121338800 -0.1276400150613218 1.2638301546009365 0.29970990424651095 0.94550001798765548 -0.12729371265655742
PTSA 5.3569722200 162.9583888800 0.093496803176870036 2.8441604297013146 -0.95191629925090659 0.29178613659084623 0.093360643281022587
3N0 5.6316666600 168.1250000000 0.098291125591792039 2.9343348049154665 -0.97387547716773604 0.20478398894378641 0.098132934550973827
C51 5.6500000000 169.1166666600 0.098611102737679632 2.9516426532147215 -0.97724292066346952 0.1878925312151554 0.098451362238891796
P16 5.8833333300 -162.0666666600 0.10268353760082208 -2.8285969409491218 -0.94640401682052078 -0.30628831841541415 0.10250318506388617
N55 5.9066666600 169.6416666600 0.10309078103477645 2.9608056317876921 -0.97847986380533658 0.17884921885163768 0.10290827490366745
1Q9 6.0833333300 171.7333333300 0.10617419610481074 2.9973121020334177 -0.98403692792480635 0.14297083905001931 0.10597482560326735
ANG 6.9000000000 134.1500000000 0.12042771838760874 2.3413591915503931 -0.69149441957931013 0.7123219831266554 0.1201368388346471
PTPN 6.9850833300 158.2098055500 0.12191270263466961 2.7612820157874984 -0.92165753251355653 0.36845376003930197 0.12161093484519794
C23 7.0000000000 134.2333333300 0.12217304763960307 2.342813632535544 -0.69238239555028436 0.71116417335946258 0.12186934340514748
N20 7.0166666600 171.4833333300 0.12246393573191351 2.9929487789034317 -0.98156607107097282 0.14698794836018417 0.12215805810161581
PKMJ 7.0649783300 171.2720283300 0.12330713344055047 2.9892608109275054 -0.98091515092955006 0.15059124117114114 0.12299489729006367
N18 7.1333333300 171.9166666600 0.1245001532507512 3.0005118722705628 -0.98240136521263055 0.13952487394098376 0.12417877105251308
PTRO 7.3673030500 134.5442638800 0.12858369521472043 2.3482403943780805 -0.69566917379856907 0.70682498196063503 0.12822965921644008
PTKK 7.4618908300 151.8430172200 0.13023456340787246 2.650160596651447 -0.87419163419829649 0.46789274508808371 0.12986672318823353
3N1 8.7083333300 171.2333333300 0.1519890889696619 2.9885854557734457 -0.97692377467060187 0.15065387102007091 0.15140458919732602
PKWA 8.7201241600 167.7316740800 0.15219487777470481 2.9274699725780309 -0.96586786757651 0.21003398767938056 0.1516080024362276
PKRO 9.3968861100 167.4708694400 0.16400660205442205 2.9229180729055524 -0.96308643570846031 0.21402490274229705 0.1632723441386322
N36 9.4666666600 170.2333333300 0.16522450240577458 2.9711321632535026 -0.97208558791791466 0.16732598545258684 0.16447378014322819
PTYA 9.4989111100 138.0824841600 0.16578727422376927 2.4099939879249166 -0.73390469819100779 0.65890012047467006 0.16502886175342452
TT02 10.0199194400 139.7897500000 0.17488058501258644 2.4397913980397434 -0.75203237375172682 0.63574727604183023 0.17399054524524057
C30 10.2833333300 170.8833333300 0.17947802468857257 2.9824768033914659 -0.97150767801767923 0.15590018222607041 0.17851600694216557
03N 11.2333333300 169.8500000000 0.19605865258251873 2.9644417345123686 -0.96549158448872774 0.17284966437985039 0.19480501483591006
PKMA 11.3408333300 162.3278333300 0.19793488152841263 2.8331551592370912 -0.93420524062235377 0.29764295735696483 0.19664495500655521
9OG1 13.4758630000 144.8121428300 0.23519817889768063 2.5274486892517993 -0.79476619357636147 0.56039365996334378 0.23303571275885948
PGUM 13.4839519400 144.7971294400 0.23533935753367691 2.527186656164413 -0.79459243385098033 0.56058292439856283 0.23317300216691167
PGUA 13.5838861100 144.9300555500 0.23708353783542463 2.5295066544457812 -0.79555677461134788 0.55850343694522775 0.23486874907138447
PGRO 14.1743494400 145.2411191600 0.24738906705621444 2.534935738623421 -0.79654628817445572 0.55276672434548269 0.24487335349494882
PGWT 14.9992305500 145.6193508300 0.26178595836321994 2.5415371266002373 -0.79718556851130007 0.54544897635921097 0.2588060732401854
PGSN 15.1202486100 145.7299863800 0.263898121964596 2.5434680812174926 -0.79778379850013903 0.54359960833136611 0.26084569513924288
C21 15.2097527700 145.7245555500 0.2654602642508278 2.5433732953528763 -0.79739458081013093 0.54344508101604705 0.26235343796889304
TNCE 17.4923619400 -62.9749733300 0.30529930980354275 -1.0991206309641175 0.43336778137233262 -0.84961452243072244 0.30057865749789575
TISX 17.7015369400 -64.8019825000 0.30895010226640196 -1.1310079564447462 0.40559023199545835 -0.86200053478240612 0.30405861563967596
VI01 17.7088666600 -64.7965491600 0.30907803001365125 -1.130913126772366 0.40565540619640228 -0.86192686732143431 0.30418048394512515
VI32 17.7471952700 -64.7048644400 0.30974699045586401 -1.1293129265345969 0.40694710557582792 -0.86109246711957033 0.30481767719964631
70PR 18.0040194400 -66.5842250000 0.31422941782106567 -1.1621139561387215 0.37794177341824325 -0.87271259560578462 0.30908371257070089
11PR 18.0061722200 -65.9014277700 0.31426699092013677 -1.1501968963517244 0.38831011675524019 -0.86813617683453015 0.30911944567861993
TJPS 18.0087777700 -66.5645277700 0.31431246634646209 -1.1617701746216986 0.37823156328352359 -0.87255906015343054 0.30916269354542758
PR25 18.0125000000 -67.0750000000 0.31437743151547859 -1.1706795957751965 0.37043483415618017 -0.87587570892195221 0.30922447536401587
PR10 18.0130194400 -67.1454555500 0.3143864974537452 -1.1719092770989998 0.36935641751615084 -0.87632798003055268 0.30923309695956874
TNCM 18.0409277700 -63.1089583300 0.31487358970097828 -1.1014591103624021 0.43005841435018094 -0.84802003246089785 0.30969627829798962
28PR 18.0997888800 -67.0385944400 0.31590090987185682 -1.1700441988871642 0.37080707754291026 -0.8752053722029115 0.31067292722612522
TFFG 18.1005555500 -63.0488888800 0.31591429078763311 -1.1004107006800401 0.4308009402862803 -0.84728093288330397 0.31068564598457882
TT01 18.1244444400 145.7686111100 0.3163312305727799 2.5441422099286859 -0.78575062882113167 0.53462508817967913 0.31108192553741598
TJVQ 18.1348055500 -65.4936111100 0.31651206605644117 -1.1430791528902382 0.39419053893843942 -0.86471665955228549 0.31125378343750232
PR23 18.1374527700 -66.2588055500 0.31655826876146581 -1.1564343152861924 0.38260150716485003 -0.8698907025788154 0.31129769077543801
PR93 18.1378222200 -65.9821277700 0.31656471688038729 -1.1516053770580839 0.38679686142550507 -0.86803117488992854 0.31130381849663991
X63 18.1380555500 -65.8006944400 0.316568789257131 -1.1484387680767265 0.3895431131943739 -0.86680083412139108 0.31130768851619411
PR31 18.1451833300 -65.8102361100 0.31669319248648875 -1.1486053016343654 0.38938288429579671 -0.86683036026088889 0.31142590763689471
PR29 18.1564527700 -67.1410388800 0.31688988131934476 -1.1718321916655259 0.36912208994389939 -0.87558342827003122 0.31161280919491574
PR09 18.1749694400 -67.1464750000 0.31721305817735002 -1.1719270698580595 0.36899988336461781 -0.87552559954312259 0.31191987852901293
PR20 18.1802277700 -66.7569444400 0.31730483334900633 -1.165128479048922 0.3749323515701537 -0.87297039914511987 0.31200707357764307
15PR 18.1817268300 -66.8330270000 0.31733099688169131 -1.1664563702242683 0.37376960003149717 -0.87345999346406988 0.31203193091419634
PR41 18.1917472200 -65.9821055500 0.31750588567952526 -1.1516049892459239 0.38667777363349681 -0.867763018533248 0.3121980830240767
TQPF 18.2048000000 -63.0538527700 0.31773369966706366 -1.1004973369042468 0.43047066959743435 -0.84681295544003132 0.31241450208858096
PR19 18.2266225000 -66.3943369400 0.3181145741430802 -1.1587997842814968 0.38034827572525831 -0.8703483106447204 0.31277628955965348
